,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
27,Renan Bressan,FC Astana,Attacking Midfield,20,"Nov 3, 1988 (24)",,"1,82m",both,€2.50m,2013
28,Damir Kojasevic,FC Astana,Attacking Midfield,7,"Jun 3, 1987 (25)",,"1,72m",both,€500k,2013
29,Foxi Kethevoama,FC Astana,Attacking Midfield,10,"May 30, 1986 (26)",,"1,72m",both,€400k,2013
30,Serikzhan Muzhikov,FC Astana,Attacking Midfield,13,"Jun 17, 1989 (23)",,"1,69m",right,€150k,2013
31,Bauyrzhan Islamkhan,FC Astana,Attacking Midfield,-,"Feb 23, 1993 (19)",,"1,74m",right,-,2013
32,Vitaliy Lee,FC Astana,Left Winger,33,"Mar 13, 1994 (18)",,"1,86m",both,€25k,2013
33,Igor Tigirlas,FC Astana,Right Winger,-,"Feb 24, 1984 (28)",,"1,77m",both,€600k,2013
34,Bauyrzhan Dzholchiev,FC Astana,Right Winger,22,"May 8, 1990 (22)",,"1,90m",right,€300k,2013
35,Ulan Konysbaev,FC Astana,Right Winger,-,"May 28, 1989 (23)",,"1,75m",right,€200k,2013
36,Patrick Twumasi,FC Astana,Right Winger,18,"May 9, 1994 (18)",,"1,76m",right,€175k,2013
37,Islambek Kulekenov,FC Astana,Right Winger,-,"Sep 15, 1994 (18)",,"1,76m",,-,2013
38,Vladislav Mendybayev,FC Astana,Right Winger,-,"May 1, 1996 (16)",,"1,79m",right,-,2013
39,Adil Balgabaev,FC Astana,Second Striker,-,"Jul 13, 1995 (17)",,"1,63m",,-,2013
40,Cícero,FC Astana,Centre-Forward,11,"May 8, 1986 (26)",,"1,89m",both,€600k,2013
41,Tanat Nuserbaev,FC Astana,Centre-Forward,17,"Jan 1, 1987 (25)",,"1,75m",right,€500k,2013
42,Sergey Ostapenko,FC Astana,Centre-Forward,9,"Feb 23, 1986 (26)",,"1,85m",right,€300k,2013
43,Atanas Kurdov,FC Astana,Centre-Forward,76,"Sep 28, 1988 (24)",,"1,91m",left,€300k,2013
44,Igor Popadinets,FC Astana,Striker,87,"Feb 28, 1994 (18)",,"1,80m",,-,2013
45,Valeri Fomichev,Shakhter Karaganda,Goalkeeper,23,"Mar 23, 1988 (24)",,"2,02m",right,€150k,2013
46,Aleksandr Mokin,Shakhter Karaganda,Goalkeeper,35,"Jun 19, 1981 (31)",,"1,94m",right,€150k,2013
47,Sergey Tkachuk,Shakhter Karaganda,Goalkeeper,-,"Feb 15, 1992 (20)",,"1,96m",right,€25k,2013
48,Aleksandr Zarutskiy,Shakhter Karaganda,Goalkeeper,-,"Aug 26, 1993 (19)",,"1,92m",right,-,2013
49,Stas Pokatilov,Shakhter Karaganda,Goalkeeper,1,"Dec 8, 1992 (20)",,"1,90m",right,-,2013
50,Jan Maslo,Shakhter Karaganda,Centre-Back,52,"Feb 5, 1986 (26)",,"1,99m",right,€800k,2013
51,Yago Fernández,Shakhter Karaganda,Centre-Back,6,"Jan 5, 1988 (24)",,"1,94m",right,€650k,2013
52,Nikola Vasiljevic,Shakhter Karaganda,Centre-Back,4,"Dec 19, 1983 (29)",,"1,99m",right,€225k,2013
53,Aldin Dzidic,Shakhter Karaganda,Centre-Back,20,"Aug 30, 1983 (29)",,"1,97m",right,€200k,2013
54,Sergey Maliy,Shakhter Karaganda,Centre-Back,25,"Jun 5, 1990 (22)",,"1,91m",right,€150k,2013
55,Aleksandr Kirov,Shakhter Karaganda,Centre-Back,84,"Sep 4, 1984 (28)",,"1,88m",right,€150k,2013
56,Aleksandar Simčević,Shakhter Karaganda,Right-Back,87,"Feb 15, 1987 (25)",,"1,88m",both,€700k,2013
57,Andrey Poryvaev,Shakhter Karaganda,Right-Back,17,"Jan 3, 1982 (30)",,"1,78m",right,€400k,2013
58,Stanislav Lunin,Shakhter Karaganda,Right-Back,77,"May 2, 1993 (19)",,"1,80m",right,€150k,2013
59,Evgeniy Tarasov,Shakhter Karaganda,Right-Back,19,"Apr 16, 1985 (27)",,"1,83m",right,€50k,2013
60,Mikhail Gabyshev,Shakhter Karaganda,Right-Back,22,"Jan 2, 1990 (22)",,"1,85m",right,€50k,2013
61,Egor Alishauskas,Shakhter Karaganda,Right-Back,-,"Dec 18, 1997 (15)",,"1,77m",right,-,2013
62,Bakyt Abuov,Shakhter Karaganda,Right-Back,8,"Jan 24, 1989 (23)",,"1,77m",right,-,2013
63,Gediminas Vicius,Shakhter Karaganda,Defensive Midfield,3,"Jul 5, 1985 (27)",,"1,89m",right,€350k,2013
64,Róger Cañas,Shakhter Karaganda,Defensive Midfield,-,"Mar 27, 1990 (22)",,"1,90m",right,€300k,2013
65,Nikola Pokrivac,Shakhter Karaganda,Defensive Midfield,18,"Nov 26, 1985 (27)",,"1,86m",left,€250k,2013
66,Timur Ospanov,Shakhter Karaganda,Midfielder,-,"Aug 5, 1996 (16)",,"1,82m",,-,2013
67,Aleksandr Alekseev,Shakhter Karaganda,Midfielder,-,"Feb 5, 1995 (17)",,"1,79m",,-,2013
68,Aslan Darabaev,Shakhter Karaganda,Central Midfield,-,"Jan 21, 1989 (23)",,"1,79m",right,€200k,2013
69,Maksat Bayzhanov,Shakhter Karaganda,Central Midfield,7,"Aug 6, 1984 (28)",,"1,80m",right,€100k,2013
70,Kuanysh Ermekov,Shakhter Karaganda,Right Midfield,44,"Apr 14, 1994 (18)",,"1,81m",right,-,2013
71,Askhat Borantaev,Shakhter Karaganda,Left Midfield,5,"Aug 22, 1978 (34)",,"1,70m",left,€150k,2013
72,Shavkat Salomov,Shakhter Karaganda,Attacking Midfield,29,"Nov 13, 1985 (27)",,"1,74m",right,€200k,2013
73,Vladislav Vasiljev,Shakhter Karaganda,Attacking Midfield,-,"Apr 10, 1997 (15)",,"1,76m",left,-,2013
74,Gevorg Ghazaryan,Shakhter Karaganda,Left Winger,-,"Apr 5, 1988 (24)",,"1,80m",right,€1.00m,2013
75,Roman Murtazaev,Shakhter Karaganda,Left Winger,45,"Sep 10, 1993 (19)",,"1,88m",right,-,2013
76,Ulan Konysbaev,Shakhter Karaganda,Right Winger,10,"May 28, 1989 (23)",,"1,75m",right,€200k,2013
77,Vadim Borovskiy,Shakhter Karaganda,Right Winger,-,"Oct 30, 1986 (26)",,"1,72m",right,€50k,2013
78,Sherkhan Bauyrzhan,Shakhter Karaganda,Right Winger,15,"Aug 28, 1992 (20)",,"1,78m",right,-,2013
79,Igor Zenkovich,Shakhter Karaganda,Centre-Forward,-,"Sep 17, 1987 (25)",,"1,85m",right,€300k,2013
80,Sergey Khizhnichenko,Shakhter Karaganda,Centre-Forward,-,"Jul 17, 1991 (21)",,"1,87m",right,€250k,2013
81,Mihret Topcagic,Shakhter Karaganda,Centre-Forward,9,"Jun 21, 1988 (24)",,"1,93m",right,€250k,2013
82,Kamoliddin Murzoev,Shakhter Karaganda,Centre-Forward,27,"Feb 17, 1987 (25)",,"1,80m",right,€250k,2013
83,Andrey Finonchenko,Shakhter Karaganda,Centre-Forward,14,"Jun 21, 1982 (30)",,"1,77m",right,€200k,2013
84,Toktar Zhangylyshbay,Shakhter Karaganda,Centre-Forward,21,"May 25, 1993 (19)",,"1,89m",right,-,2013
85,Dmitriy Khomich,Kairat Almaty,Goalkeeper,16,"Oct 4, 1984 (28)",,"1,90m",right,€750k,2013
86,David Loria,Kairat Almaty,Goalkeeper,1,"Oct 31, 1981 (31)",,"1,83m",right,€250k,2013
87,Sergey Tkachuk,Kairat Almaty,Goalkeeper,24,"Feb 15, 1992 (20)",,"1,96m",right,€25k,2013
88,Vladimir Groshev,Kairat Almaty,Goalkeeper,-,"Jan 4, 1995 (17)",,"1,92m",right,-,2013
89,Zarko Markovic,Kairat Almaty,Centre-Back,6,"Jan 28, 1987 (25)",,"2,04m",left,€550k,2013
90,Lubomir Michalik,Kairat Almaty,Centre-Back,20,"Aug 13, 1983 (29)",,"1,93m",right,€500k,2013
91,Aleksandr Kislitsyn,Kairat Almaty,Centre-Back,5,"Mar 8, 1986 (26)",,"1,89m",right,€250k,2013
92,Mark Gurman,Kairat Almaty,Centre-Back,3,"Feb 9, 1989 (23)",,"1,79m",right,€200k,2013
93,Vladimir Sedelnikov,Kairat Almaty,Centre-Back,15,"Oct 15, 1991 (21)",,"1,93m",right,€100k,2013
94,Timur Rudoselskiy,Kairat Almaty,Centre-Back,18,"Dec 21, 1994 (18)",,"1,93m",right,-,2013
95,Kasymzhan Taipov,Kairat Almaty,Centre-Back,55,"Feb 19, 1995 (17)",,"1,80m",right,-,2013
96,Zaurbek Pliev,Kairat Almaty,Left-Back,2,"Sep 27, 1991 (21)",,"1,88m",left,€300k,2013
97,Bauyrzhan Tanirbergenov,Kairat Almaty,Left-Back,42,"Feb 11, 1995 (17)",,"1,73m",left,-,2013
98,Stanislav Lunin,Kairat Almaty,Right-Back,28,"May 2, 1993 (19)",,"1,80m",right,€150k,2013
99,Ermek Kuantaev,Kairat Almaty,Right-Back,13,"Oct 13, 1990 (22)",,"1,74m",both,€100k,2013
100,Mikhail Bakaev,Kairat Almaty,Defensive Midfield,19,"Aug 5, 1987 (25)",,"1,75m",right,€700k,2013
101,Samat Smakov,Kairat Almaty,Defensive Midfield,8,"Dec 8, 1978 (34)",,"1,82m",both,€200k,2013
102,Islambek Kuat,Kairat Almaty,Defensive Midfield,32,"Jan 12, 1993 (19)",,"1,79m",right,€25k,2013
103,Oybek Baltabaev,Kairat Almaty,Defensive Midfield,-,"Jun 13, 1994 (18)",,"1,73m",both,-,2013
104,Artur Yedigaryan,Kairat Almaty,Central Midfield,27,"Jun 26, 1987 (25)",,"1,75m",right,€500k,2013
105,Aslan Darabaev,Kairat Almaty,Central Midfield,17,"Jan 21, 1989 (23)",,"1,79m",right,€200k,2013
106,Argen Zhumataev,Kairat Almaty,Central Midfield,6,"Oct 21, 1994 (18)",,"1,76m",left,-,2013
107,Zhambyl Kukeev,Kairat Almaty,Left Midfield,7,"Sep 20, 1988 (24)",,"1,77m",both,€500k,2013
108,Sito Riera,Kairat Almaty,Attacking Midfield,26,"Jan 5, 1987 (25)",,"1,84m",right,€800k,2013
109,Josip Knezevic,Kairat Almaty,Attacking Midfield,10,"Oct 3, 1988 (24)",,"1,86m",left,€350k,2013
110,Bauyrzhan Baytana,Kairat Almaty,Attacking Midfield,14,"May 6, 1992 (20)",,"1,74m",both,€100k,2013
111,Bauyrzhan Islamkhan,Kairat Almaty,Attacking Midfield,9,"Feb 23, 1993 (19)",,"1,74m",right,-,2013
112,Vladyslav Nekhtiy,Kairat Almaty,Attacking Midfield,25,"Dec 19, 1991 (21)",,"1,81m",right,-,2013
113,Vitaliy Lee,Kairat Almaty,Left Winger,29,"Mar 13, 1994 (18)",,"1,86m",both,€25k,2013
114,Rifat Nurmugamet,Kairat Almaty,Left Winger,80,"May 22, 1996 (16)",,"1,80m",left,-,2013
115,Sherkhan Bauyrzhan,Kairat Almaty,Right Winger,11,"Aug 28, 1992 (20)",,"1,78m",right,-,2013
116,Aslan Orazaev,Kairat Almaty,Right Winger,22,"May 7, 1992 (20)",,"1,80m",right,-,2013
117,Isael,Kairat Almaty,Right Winger,31,"May 13, 1988 (24)",,"1,71m",left,-,2013
118,Kuanysh Sovetov,Kairat Almaty,Right Winger,60,"May 11, 1995 (17)",,"1,79m",right,-,2013
119,Gerard Gohou,Kairat Almaty,Centre-Forward,30,"Dec 29, 1988 (24)",,"1,84m",right,€700k,2013
120,Momodou Ceesay,Kairat Almaty,Centre-Forward,21,"Dec 24, 1988 (24)",,"1,95m",right,€300k,2013
121,Milos Lacny,Kairat Almaty,Centre-Forward,23,"Mar 8, 1988 (24)",,"1,83m",right,€250k,2013
122,Aleksandr Petukhov,Tobol Kostanay,Goalkeeper,35,"Jan 11, 1985 (27)",,"1,87m",right,€300k,2013
123,Arslan Satubaldin,Tobol Kostanay,Goalkeeper,77,"Aug 11, 1984 (28)",,"1,93m",right,€50k,2013
124,Ivan Sivozhelezov,Tobol Kostanay,Goalkeeper,1,"Mar 12, 1985 (27)",,"1,95m",right,-,2013
125,Nenad Sljivic,Tobol Kostanay,Centre-Back,8,"Jun 8, 1985 (27)",,"1,84m",right,€500k,2013
126,Stepan Kucera,Tobol Kostanay,Centre-Back,25,"Jun 11, 1984 (28)",,"1,91m",left,€350k,2013
127,Farkhadbek Irismetov,Tobol Kostanay,Centre-Back,14,"Aug 10, 1981 (31)",,"1,83m",right,€200k,2013
128,Nikola Tonev,Tobol Kostanay,Centre-Back,33,"Nov 12, 1985 (27)",,"1,87m",both,€75k,2013
129,Aleksandr Shkot,Tobol Kostanay,Centre-Back,2,"May 15, 1989 (23)",,"1,86m",right,€50k,2013
130,Ivan Sadovnichiy,Tobol Kostanay,Centre-Back,-,"May 11, 1987 (25)",,"1,92m",right,-,2013
131,Vladimir Pokatilov,Tobol Kostanay,Centre-Back,3,"Dec 8, 1992 (20)",,"1,92m",right,-,2013
132,Rafkat Aslan,Tobol Kostanay,Centre-Back,37,"Feb 2, 1994 (18)",,"1,86m",right,-,2013
133,Vitaliy Volkov,Tobol Kostanay,Left-Back,11,"Mar 22, 1981 (31)",,"1,75m",left,€400k,2013
134,Ondrej Kusnir,Tobol Kostanay,Right-Back,13,"Apr 5, 1984 (28)",,"1,84m",both,€500k,2013
135,Nurtas Kurgulin,Tobol Kostanay,Right-Back,17,"Sep 20, 1986 (26)",,"1,75m",right,€100k,2013
136,Anuar Agaysin,Tobol Kostanay,Right-Back,-,"Oct 26, 1994 (18)",,"1,85m",right,-,2013
137,Anatoliy Bogdanov,Tobol Kostanay,Defensive Midfield,5,"Jun 7, 1981 (31)",,"1,86m",right,€100k,2013
138,Ramiz Mukanov,Tobol Kostanay,Defensive Midfield,-,"Sep 15, 1996 (16)",,"1,77m",right,-,2013
139,Aleksey Malyshev,Tobol Kostanay,Central Midfield,21,"Jun 24, 1989 (23)",,"1,86m",right,€150k,2013
140,Ognjen Krasic,Tobol Kostanay,Right Midfield,24,"Apr 9, 1988 (24)",,"1,74m",both,€275k,2013
141,Ermek Nurgaliev,Tobol Kostanay,Right Midfield,12,"Aug 8, 1986 (26)",,"1,70m",right,€75k,2013
142,Tomas Simkovic,Tobol Kostanay,Attacking Midfield,81,"Apr 16, 1987 (25)",,-,left,€800k,2013
143,Nurbol Zhumaskaliev,Tobol Kostanay,Attacking Midfield,9,"May 11, 1981 (31)",,"1,76m",left,€200k,2013
144,Artem Deli,Tobol Kostanay,Attacking Midfield,18,"Mar 2, 1989 (23)",,"1,83m",right,-,2013
145,Raul Dzhalilov,Tobol Kostanay,Attacking Midfield,23,"Jul 20, 1994 (18)",,"1,80m",left,-,2013
146,Alisher Suley,Tobol Kostanay,Left Winger,6,"Nov 1, 1995 (17)",,"1,78m",right,-,2013
147,Beybut Abishev,Tobol Kostanay,Left Winger,22,"Feb 9, 1992 (20)",,"1,71m",both,-,2013
148,Jiri Jeslinek,Tobol Kostanay,Right Winger,99,"Sep 30, 1987 (25)",,"1,81m",right,€700k,2013
149,Lukasz Gikiewicz,Tobol Kostanay,Centre-Forward,87,"Oct 26, 1987 (25)",,"1,88m",right,€500k,2013
150,Igor Bugaev,Tobol Kostanay,Centre-Forward,10,"Jun 26, 1984 (28)",,"1,85m",right,€400k,2013
151,Aleksandr Grigorenko,Ordabasy Shymkent,Goalkeeper,1,"Feb 6, 1985 (27)",,"1,82m",right,€25k,2013
152,Abylaykhan Duysen,Ordabasy Shymkent,Goalkeeper,-,"Jun 3, 1994 (18)",,"1,90m",right,-,2013
153,Andrey Tsvetkov,Ordabasy Shymkent,Goalkeeper,27,"Mar 20, 1980 (32)",,"1,91m",right,-,2013
154,Samat Otarbaev,Ordabasy Shymkent,Goalkeeper,32,"Feb 18, 1990 (22)",,"1,90m",right,-,2013
155,Ondrej Kudela,Ordabasy Shymkent,Centre-Back,-,"Mar 26, 1987 (25)",,"1,82m",right,€750k,2013
156,Freire,Ordabasy Shymkent,Centre-Back,2,"Aug 21, 1989 (23)",,"1,87m",right,€500k,2013
157,Mladen Lazarevic,Ordabasy Shymkent,Centre-Back,-,"Jan 15, 1984 (28)",,"1,88m",left,€300k,2013
158,Farkhadbek Irismetov,Ordabasy Shymkent,Centre-Back,55,"Aug 10, 1981 (31)",,"1,83m",right,€200k,2013
159,Argen Manekeev,Ordabasy Shymkent,Centre-Back,-,"May 24, 1996 (16)",,"1,82m",right,-,2013
160,Mukhtar Mukhtarov,Ordabasy Shymkent,Centre-Back,4,"Jan 6, 1986 (26)",,"1,88m",right,-,2013
161,Andrew Mwesigwa,Ordabasy Shymkent,Centre-Back,14,"Apr 24, 1984 (28)",,"1,80m",right,-,2013
162,Gafurzhan Suyumbaev,Ordabasy Shymkent,Left-Back,5,"Aug 19, 1990 (22)",,"1,75m",left,-,2013
163,Nursayn Zholdasov,Ordabasy Shymkent,Right-Back,-,"May 11, 1991 (21)",,"1,82m",right,€100k,2013
164,Talgat Adyrbekov,Ordabasy Shymkent,Right-Back,77,"Jan 26, 1989 (23)",,"1,78m",right,€75k,2013
165,Bakdaulet Kozhabaev,Ordabasy Shymkent,Right-Back,23,"Jun 19, 1992 (20)",,"1,82m",right,-,2013
166,Kazbek Geteriev,Ordabasy Shymkent,Defensive Midfield,33,"Jun 30, 1985 (27)",,"1,72m",right,€300k,2013
167,Artem Kasyanov,Ordabasy Shymkent,Defensive Midfield,12,"Apr 20, 1983 (29)",,"1,80m",left,€200k,2013
168,Abdoulaye Diakhate,Ordabasy Shymkent,Defensive Midfield,25,"Jan 16, 1988 (24)",,"1,81m",right,€200k,2013
169,Piraly Aliev,Ordabasy Shymkent,Defensive Midfield,6,"Jan 13, 1984 (28)",,"1,80m",right,€50k,2013
170,Bekzat Beysenov,Ordabasy Shymkent,Defensive Midfield,8,"Feb 18, 1987 (25)",,"1,82m",right,-,2013
171,Evgeniy Levin,Ordabasy Shymkent,Central Midfield,20,"Jul 12, 1992 (20)",,"1,74m",right,-,2013
172,Ali Aliev,Ordabasy Shymkent,Left Midfield,38,"Oct 27, 1980 (32)",,"1,75m",left,€125k,2013
173,Kairat Ashirbekov,Ordabasy Shymkent,Attacking Midfield,10,"Oct 21, 1982 (30)",,"1,72m",left,€100k,2013
174,Azat Nurgaliev,Ordabasy Shymkent,Left Winger,7,"Jun 30, 1986 (26)",,"1,73m",both,€200k,2013
175,Mardan Tolebek,Ordabasy Shymkent,Right Winger,17,"Dec 18, 1990 (22)",,"1,74m",left,-,2013
176,Erkebulan Tungyshbaev,Ordabasy Shymkent,Right Winger,21,"Jan 14, 1995 (17)",,"1,82m",right,-,2013
177,Pavel Cerny,Ordabasy Shymkent,Centre-Forward,89,"Jan 28, 1985 (27)",,"1,85m",right,€400k,2013
178,Edin Junuzovic,Ordabasy Shymkent,Centre-Forward,28,"Apr 28, 1986 (26)",,"1,88m",right,€350k,2013
179,Sergey Gridin,Ordabasy Shymkent,Centre-Forward,-,"May 20, 1987 (25)",,"1,95m",right,€100k,2013
180,Daurenbek Tazhimbetov,Ordabasy Shymkent,Centre-Forward,18,"Jul 2, 1985 (27)",,"1,84m",right,-,2013
181,Maksim Filchakov,Ordabasy Shymkent,Centre-Forward,39,"Dec 28, 1993 (19)",,"1,83m",right,-,2013
182,Zhasur Narzikulov,FK Taraz,Goalkeeper,77,"Apr 13, 1984 (28)",,"1,89m",right,€50k,2013
183,Bobyr Zaynutdinov,FK Taraz,Goalkeeper,-,"Mar 16, 1995 (17)",,"1,80m",right,-,2013
184,Ramil Nurmukhametov,FK Taraz,Goalkeeper,1,"Dec 21, 1987 (25)",,"1,82m",right,-,2013
185,Dzhurakhon Babakhanov,FK Taraz,Goalkeeper,24,"Oct 31, 1991 (21)",,"1,90m",right,-,2013
186,Rustam Aydargaliev,FK Taraz,Goalkeeper,25,"Aug 11, 1991 (21)",,"1,91m",right,-,2013
187,Denys Vasilyev,FK Taraz,Centre-Back,26,"May 8, 1987 (25)",,"1,87m",right,€400k,2013
188,Aleksandr Kuchma,FK Taraz,Centre-Back,3,"Dec 9, 1980 (32)",,"1,83m",right,€200k,2013
189,Dmytro Bashlay,FK Taraz,Centre-Back,28,"Apr 25, 1990 (22)",,"1,90m",right,€75k,2013
190,Ilya Vorotnikov,FK Taraz,Centre-Back,4,"Feb 1, 1986 (26)",,"1,86m",right,€50k,2013
191,Berik Aytbaev,FK Taraz,Centre-Back,14,"Jun 26, 1991 (21)",,"1,84m",right,-,2013
192,Kurmet Karaman,FK Taraz,Centre-Back,45,"Aug 2, 1995 (17)",,"1,79m",right,-,2013
193,Timur Dosmagambetov,FK Taraz,Left-Back,11,"May 1, 1989 (23)",,"1,72m",left,€200k,2013
194,Rok Roj,FK Taraz,Left-Back,15,"Oct 8, 1986 (26)",,"1,76m",left,€150k,2013
195,Dmitriy Evstigneev,FK Taraz,Left-Back,6,"Nov 21, 1986 (26)",,"1,81m",left,-,2013
196,Sigourney Bandjar,FK Taraz,Right-Back,2,"Aug 18, 1984 (28)",,"1,76m",right,€350k,2013
197,Daniyar Bayaliev,FK Taraz,Right-Back,21,"Jan 30, 1993 (19)",,"1,73m",right,-,2013
198,Maksat Amirkhanov,FK Taraz,Right-Back,22,"Feb 10, 1992 (20)",,"1,72m",right,-,2013
199,Jovan Golic,FK Taraz,Defensive Midfield,18,"Sep 18, 1986 (26)",,"1,89m",right,€250k,2013
200,Sergey Skorykh,FK Taraz,Defensive Midfield,5,"May 25, 1984 (28)",,"1,84m",right,€200k,2013
201,Vitaliy Evstigneev,FK Taraz,Defensive Midfield,8,"Aug 8, 1985 (27)",,"1,86m",both,-,2013
202,Abzal Taubay,FK Taraz,Central Midfield,-,"Feb 18, 1995 (17)",,"1,75m",right,-,2013
203,Bauyrzhan Baytana,FK Taraz,Attacking Midfield,10,"May 6, 1992 (20)",,"1,74m",both,€100k,2013
204,Oleg Nedashkovskiy,FK Taraz,Attacking Midfield,17,"Sep 9, 1987 (25)",,"1,84m",right,-,2013
205,Desley Ubbink,FK Taraz,Attacking Midfield,20,"Jun 15, 1993 (19)",,"1,83m",right,-,2013
206,Eduard Sergienko,FK Taraz,Right Winger,7,"Feb 18, 1983 (29)",,"1,81m",both,€150k,2013
207,Richard Barroilhet,FK Taraz,Right Winger,19,"Aug 29, 1992 (20)",,"1,88m",right,€100k,2013
208,Alibek Satybaldy,FK Taraz,Right Winger,-,"Jun 28, 1995 (17)",,"1,68m",right,-,2013
209,Zhakyp Kozhamberdy,FK Taraz,Right Winger,23,"Feb 26, 1992 (20)",,"1,83m",left,-,2013
210,Oleksandr Yarovenko,FK Taraz,Centre-Forward,27,"Dec 19, 1987 (25)",,"1,83m",right,€175k,2013
211,Aleksey Shchetkin,FK Taraz,Centre-Forward,12,"May 21, 1991 (21)",,"1,93m",right,€100k,2013
212,Murat Tleshev,FK Taraz,Centre-Forward,9,"Apr 18, 1980 (32)",,"1,88m",right,€50k,2013
213,Andrey Sidelnikov,FK Aktobe,Goalkeeper,55,"Mar 8, 1980 (32)",,"1,90m",right,€200k,2013
214,Almat Bekbaev,FK Aktobe,Goalkeeper,40,"Jul 14, 1984 (28)",,"1,94m",right,€100k,2013
215,Zhasur Narzikulov,FK Aktobe,Goalkeeper,34,"Apr 13, 1984 (28)",,"1,89m",right,€50k,2013
216,Stanislav Pavlov,FK Aktobe,Goalkeeper,35,"May 30, 1994 (18)",,"1,93m",right,€25k,2013
217,Aleksey Muldarov,FK Aktobe,Centre-Back,3,"Apr 24, 1984 (28)",,"1,89m",right,€750k,2013
218,Taras Tsarikaev,FK Aktobe,Centre-Back,6,"Jun 17, 1989 (23)",,"1,86m",right,€450k,2013
219,Robert Arzumanyan,FK Aktobe,Centre-Back,16,"Jul 24, 1985 (27)",,"1,84m",right,€250k,2013
220,Sanat Shalekenov,FK Aktobe,Centre-Back,-,"Apr 4, 1989 (23)",,"1,84m",right,€100k,2013
221,Robert Primus,FK Aktobe,Centre-Back,12,"Nov 10, 1990 (22)",,"1,91m",right,€50k,2013
222,Aldan Baltaev,FK Aktobe,Centre-Back,-,"Jan 15, 1989 (23)",,"1,85m",right,-,2013
223,Sayat Zhumagali,FK Aktobe,Centre-Back,-,"Apr 25, 1995 (17)",,"1,89m",right,-,2013
224,Anderson Mineiro,FK Aktobe,Left-Back,70,"Apr 24, 1986 (26)",,"1,84m",left,€600k,2013
225,Emil Kenzhisariev,FK Aktobe,Left-Back,20,"Mar 26, 1987 (25)",,"1,75m",left,€250k,2013
226,Dmitriy Miroshnichenko,FK Aktobe,Right-Back,7,"Feb 26, 1992 (20)",,"1,83m",right,€50k,2013
