,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
30,Nilton Mendes,Shakhter Karaganda,Centre-Forward,-,"Jan 7, 1976 (30)",,"1,80m",,-,2006
31,Andrey Finonchenko,Shakhter Karaganda,Centre-Forward,-,"Jun 21, 1982 (23)",,"1,77m",right,-,2006
32,Rafael Urazbakhtin,Shakhter Karaganda,Centre-Forward,-,"Nov 20, 1978 (27)",,"1,80m",right,-,2006
33,Mihails Miholaps,Shakhter Karaganda,Centre-Forward,-,"Aug 24, 1974 (31)",,N/Am,N/A,-,2006
34,Dmitriy Khomenko,Shakhter Karaganda,Striker,-,"Sep 25, 1986 (19)",,"1,80m",,-,2006
35,Evgeniy Nesterov,Shakhter Karaganda,Striker,-,"Apr 17, 1984 (21)",,"1,72m",,-,2006
36,Andrey Morev,FK Aktobe,Goalkeeper,-,"Oct 13, 1973 (32)",,"1,88m",right,-,2006
37,Roman Nesterenko,FK Aktobe,Goalkeeper,-,"Mar 22, 1977 (28)",,"1,99m",right,-,2006
38,Zhasur Narzikulov,FK Aktobe,Goalkeeper,-,"Apr 13, 1984 (21)",,"1,89m",right,-,2006
39,Zhasulan Dehkanov,FK Aktobe,Goalkeeper,-,"Apr 13, 1987 (18)",,-,,-,2006
40,Evgeniy Ovchinnikov,FK Aktobe,Goalkeeper,-,"Apr 11, 1985 (20)",,"1,83m",,-,2006
41,Sergey Yaskovich,FK Aktobe,Centre-Back,-,"Jan 11, 1972 (33)",,"1,83m",right,-,2006
42,Andrey Pushkarev,FK Aktobe,Centre-Back,-,"Mar 15, 1985 (20)",,"1,86m",right,-,2006
43,Renat Dubinskiy,FK Aktobe,Left-Back,-,"May 6, 1979 (26)",,"1,85m",left,-,2006
44,Maksim Samchenko,FK Aktobe,Left-Back,-,"May 5, 1979 (26)",,"1,80m",left,-,2006
45,Oleg Sabirov,FK Aktobe,Left-Back,-,"Mar 13, 1978 (27)",,"1,81m",right,-,2006
46,Oleg Musin,FK Aktobe,Left-Back,-,"Jan 12, 1975 (30)",,"1,76m",left,-,2006
47,Aleksey Nikolaev,FK Aktobe,Right-Back,-,"Sep 5, 1979 (26)",,"1,78m",right,-,2006
48,Petr Badlo,FK Aktobe,Right-Back,-,"May 24, 1976 (29)",,"1,78m",right,-,2006
49,Andrey Shkurin,FK Aktobe,Right-Back,-,"Mar 3, 1972 (33)",,"1,73m",both,-,2006
50,Igor Aksenov,FK Aktobe,Defensive Midfield,-,"Aug 11, 1977 (28)",,"1,79m",right,-,2006
51,Samat Smakov,FK Aktobe,Defensive Midfield,-,"Dec 8, 1978 (27)",,"1,82m",both,-,2006
52,Yuriy Logvinenko,FK Aktobe,Defensive Midfield,-,"Jul 22, 1988 (17)",,"1,87m",left,-,2006
53,Anatoliy Malkov,FK Aktobe,Midfielder,-,"Jul 8, 1981 (24)",,"1,78m",right,-,2006
54,Sergey Labodovskiy,FK Aktobe,Midfielder,-,"Jan 14, 1982 (23)",,"1,94m",,-,2006
55,Alisher Tazhibayuly,FK Aktobe,Midfielder,-,"Jan 28, 1987 (18)",,"1,74m",,-,2006
56,Vitaliy Kitsak,FK Aktobe,Midfielder,-,"Oct 16, 1975 (30)",,"1,75m",,-,2006
57,Zhandos Orazaliev,FK Aktobe,Midfielder,-,"Oct 3, 1985 (20)",,"1,88m",,-,2006
58,Maksim Fokin,FK Aktobe,Central Midfield,-,"Jun 27, 1982 (23)",,"1,92m",right,€50k,2006
59,Konstantin Golovskoy,FK Aktobe,Central Midfield,-,"Apr 25, 1975 (30)",,"1,86m",right,€50k,2006
60,Aleksey Kosolapov,FK Aktobe,Central Midfield,-,"Mar 17, 1971 (34)",,"1,78m",right,-,2006
61,Oleksandr Mitrofanov,FK Aktobe,Central Midfield,-,"Nov 1, 1977 (28)",,"1,72m",,-,2006
62,Vladislav Kiselev,FK Aktobe,Left Midfield,-,"Oct 12, 1980 (25)",,"1,78m",left,-,2006
63,Maksim Nizovtsev,FK Aktobe,Left Midfield,-,"Sep 9, 1972 (33)",,-,,-,2006
64,Kairat Ashirbekov,FK Aktobe,Attacking Midfield,-,"Oct 21, 1982 (23)",,"1,72m",left,-,2006
65,Andrey Bogomolov,FK Aktobe,Attacking Midfield,-,"Apr 11, 1977 (28)",,"1,83m",right,-,2006
66,Marat Khayrullin,FK Aktobe,Attacking Midfield,-,"Apr 26, 1984 (21)",,"1,76m",right,-,2006
67,Aleksandr Savin,FK Aktobe,Second Striker,-,"Oct 20, 1984 (21)",,"1,77m",left,-,2006
68,Serghei Rogaciov,FK Aktobe,Centre-Forward,-,"May 20, 1977 (28)",,"1,83m",right,-,2006
69,Ulugbek Asanbaev,FK Aktobe,Centre-Forward,-,"Sep 13, 1979 (26)",,"1,83m",,-,2006
70,Alibek Buleshev,FK Aktobe,Centre-Forward,-,"Apr 9, 1981 (24)",,"1,75m",right,-,2006
71,Igor Abdusheev,FK Aktobe,Striker,-,"Apr 13, 1985 (20)",,"1,74m",,-,2006
72,Aleksandr Mokin,Ordabasy Shymkent,Goalkeeper,-,"Jun 19, 1981 (24)",,"1,94m",right,-,2006
73,Oleg Voskoboynikov,Ordabasy Shymkent,Goalkeeper,-,"Jul 4, 1971 (34)",,-,,-,2006
74,Murat Mukashev,Ordabasy Shymkent,Goalkeeper,-,"Sep 18, 1982 (23)",,"1,80m",right,-,2006
75,Sergey Maksimov,Ordabasy Shymkent,Defender,-,"Sep 8, 1982 (23)",,"1,82m",,-,2006
76,Zhandos Ametov,Ordabasy Shymkent,Defender,-,"Feb 8, 1980 (25)",,"1,78m",,-,2006
77,Santos Junior,Ordabasy Shymkent,Defender,-,"Feb 23, 1981 (24)",,"1,80m",,-,2006
78,Timur Primzhanov,Ordabasy Shymkent,Defender,-,"Sep 2, 1987 (18)",,"1,72m",,-,2006
79,Denis Volodin,Ordabasy Shymkent,Centre-Back,-,"Jul 11, 1982 (23)",,"1,88m",right,€50k,2006
80,Egor Azovskiy,Ordabasy Shymkent,Centre-Back,-,"Jan 10, 1985 (20)",,"1,87m",right,-,2006
81,Mukhtar Mukhtarov,Ordabasy Shymkent,Centre-Back,-,"Jan 6, 1986 (19)",,"1,88m",right,-,2006
82,Oleg Sabirov,Ordabasy Shymkent,Left-Back,-,"Mar 13, 1978 (27)",,"1,81m",right,-,2006
83,Sergey Kozyulin,Ordabasy Shymkent,Right-Back,-,"Aug 2, 1980 (25)",,"1,80m",right,-,2006
84,Dmitri Protorchin,Ordabasy Shymkent,Right-Back,-,"Jul 2, 1978 (27)",,"1,78m",right,-,2006
85,Pavel Pishchulin,Ordabasy Shymkent,Right-Back,-,"Nov 23, 1980 (25)",,"1,77m",right,-,2006
86,Dias Kamelov,Ordabasy Shymkent,Defensive Midfield,-,"May 29, 1981 (24)",,"1,74m",right,-,2006
87,Bekzat Beysenov,Ordabasy Shymkent,Defensive Midfield,-,"Feb 18, 1987 (18)",,"1,82m",right,-,2006
88,Aydos Kenzhebaev,Ordabasy Shymkent,Midfielder,-,"Oct 27, 1984 (21)",,-,,-,2006
89,Darkhan Tleuliev,Ordabasy Shymkent,Midfielder,-,"Mar 26, 1987 (18)",,"1,74m",,-,2006
90,Kuanysh Karakulov,Ordabasy Shymkent,Right Midfield,-,"Jun 20, 1977 (28)",,"1,73m",right,-,2006
91,Murat Tleshev,Ordabasy Shymkent,Centre-Forward,-,"Apr 18, 1980 (25)",,"1,88m",right,-,2006
92,Dragan Djurdjevic,Ordabasy Shymkent,Centre-Forward,-,"Apr 18, 1981 (24)",,"1,93m",right,-,2006
93,Nurbolat Maimakov,Ordabasy Shymkent,Centre-Forward,-,"Apr 27, 1982 (23)",,"1,73m",right,-,2006
94,Tanat Nuserbaev,Ordabasy Shymkent,Centre-Forward,-,"Jan 1, 1987 (18)",,"1,75m",right,-,2006
95,Andriy Nesteruk,Ordabasy Shymkent,Centre-Forward,-,"Aug 1, 1978 (27)",,"1,80m",,-,2006
96,Dauren Kusainov,Ordabasy Shymkent,Centre-Forward,-,"Apr 10, 1984 (21)",,"1,82m",right,-,2006
97,Sanat Zhumakhanov,Ordabasy Shymkent,Centre-Forward,-,"Jan 30, 1988 (17)",,"1,85m",right,-,2006
98,Igor Glushko,Zhetysu Taldykorgan,Goalkeeper,-,"Jul 17, 1980 (25)",,"2,00m",,-,2006
99,Arslan Satubaldin,Zhetysu Taldykorgan,Goalkeeper,-,"Aug 11, 1984 (21)",,"1,93m",right,-,2006
100,Yuriy Novikov,Zhetysu Taldykorgan,Goalkeeper,-,"May 19, 1972 (33)",,-,,-,2006
101,Zhanibek Maemgenov,Zhetysu Taldykorgan,Goalkeeper,-,"Jul 22, 1984 (21)",,"1,80m",,-,2006
102,Ruslan Gumar,Zhetysu Taldykorgan,Defender,-,"Nov 18, 1973 (32)",,"1,81m",,-,2006
103,Constantin Munteanu,Zhetysu Taldykorgan,Defender,-,"Jul 16, 1976 (29)",,-,,-,2006
104,Timur Primzhanov,Zhetysu Taldykorgan,Defender,-,"Sep 2, 1987 (18)",,"1,72m",,-,2006
105,Zhandos Akhmetov,Zhetysu Taldykorgan,Defender,-,"Feb 4, 1987 (18)",,"1,87m",,-,2006
106,Diaz Khamzin,Zhetysu Taldykorgan,Defender,-,"Jun 24, 1987 (18)",,"1,80m",right,-,2006
107,Aleksey Sorokin,Zhetysu Taldykorgan,Defender,-,"Apr 29, 1985 (20)",,"1,75m",,-,2006
108,Oleksandr Krutskevych,Zhetysu Taldykorgan,Centre-Back,-,"Nov 13, 1980 (25)",,"1,90m",right,-,2006
109,Sergey Kutsov,Zhetysu Taldykorgan,Centre-Back,-,"Apr 23, 1977 (28)",,"1,91m",right,-,2006
110,Maksim Zabelin,Zhetysu Taldykorgan,Centre-Back,-,"Feb 4, 1977 (28)",,"1,87m",left,-,2006
111,Boris Polyakov,Zhetysu Taldykorgan,Centre-Back,-,"Dec 8, 1976 (29)",,"1,84m",right,-,2006
112,Murat Iskakov,Zhetysu Taldykorgan,Centre-Back,-,"Jun 28, 1972 (33)",,"1,91m",right,-,2006
113,Serik Zheylitbaev,Zhetysu Taldykorgan,Midfielder,-,"Aug 23, 1974 (31)",,"1,77m",,-,2006
114,Kostyantyn Panin,Zhetysu Taldykorgan,Midfielder,-,"Dec 8, 1975 (30)",,"1,78m",,-,2006
115,Sergey Labodovskiy,Zhetysu Taldykorgan,Midfielder,-,"Jan 14, 1982 (23)",,"1,94m",,-,2006
116,Vitaliy Kitsak,Zhetysu Taldykorgan,Midfielder,-,"Oct 16, 1975 (30)",,"1,75m",,-,2006
117,Galym Karakenov,Zhetysu Taldykorgan,Midfielder,-,"Aug 28, 1984 (21)",,"1,77m",,-,2006
118,Ruslan Barzukaev,Zhetysu Taldykorgan,Central Midfield,-,"Dec 5, 1987 (18)",,"1,82m",right,-,2006
119,Dmitriy Mamonov,Zhetysu Taldykorgan,Central Midfield,-,"Apr 26, 1978 (27)",,"1,73m",right,-,2006
120,Ruslan Mikhailov,Zhetysu Taldykorgan,Left Midfield,-,"Feb 22, 1979 (26)",,"1,72m",left,-,2006
121,Ashkat Kadyrkulov,Zhetysu Taldykorgan,Left Midfield,-,"Nov 14, 1974 (31)",,"1,78m",,-,2006
122,Erzat Kenbaev,Zhetysu Taldykorgan,Second Striker,-,"Apr 22, 1988 (17)",,"1,78m",right,-,2006
123,Aleksandr Krokhmal,Zhetysu Taldykorgan,Centre-Forward,-,"Nov 22, 1977 (28)",,"1,80m",right,-,2006
124,Giorgi Megreladze,Zhetysu Taldykorgan,Centre-Forward,-,"Jul 21, 1978 (27)",,"1,80m",right,-,2006
125,Rustam Usmanov,Zhetysu Taldykorgan,Striker,-,"Jan 30, 1977 (28)",,-,,-,2006
126,Igor Osipchuk,Vostok Oskemen,Goalkeeper,-,"Aug 2, 1975 (30)",,"1,83m",right,-,2006
127,Ivan Sivozhelezov,Vostok Oskemen,Goalkeeper,-,"Mar 12, 1985 (20)",,"1,95m",right,-,2006
128,Dmitriy Zemlyanskiy,Vostok Oskemen,Goalkeeper,-,"Jul 27, 1987 (18)",,-,,-,2006
129,Zviad Jeladze,Vostok Oskemen,Defender,-,"Dec 16, 1973 (32)",,N/Am,N/A,-,2006
130,Azamat Seytbekov,Vostok Oskemen,Defender,-,"Nov 22, 1988 (17)",,"1,76m",,-,2006
131,Georgiy Kolpakov,Vostok Oskemen,Defender,-,"Apr 18, 1979 (26)",,"1,85m",,-,2006
132,Timur Argintaev,Vostok Oskemen,Defender,-,"Sep 4, 1984 (21)",,"1,78m",,-,2006
133,Anton Moltusinov,Vostok Oskemen,Centre-Back,-,"May 18, 1988 (17)",,"1,84m",right,-,2006
134,Maksim Zuev,Vostok Oskemen,Centre-Back,-,"Apr 27, 1983 (22)",,"1,89m",right,-,2006
135,Oleg Tolok,Vostok Oskemen,Centre-Back,-,"Sep 20, 1980 (25)",,"1,90m",,-,2006
136,Yuriy Aksenov,Vostok Oskemen,Left-Back,-,"Aug 11, 1973 (32)",,"1,74m",,-,2006
137,Evgeniy Tarasov,Vostok Oskemen,Right-Back,-,"Apr 16, 1985 (20)",,"1,83m",right,-,2006
138,Giga Zhvania,Vostok Oskemen,Right-Back,-,"Jan 16, 1982 (23)",,-,,-,2006
139,Anatoliy Malkov,Vostok Oskemen,Midfielder,-,"Jul 8, 1981 (24)",,"1,78m",right,-,2006
140,Sergiy Zgura,Vostok Oskemen,Midfielder,-,"Nov 3, 1977 (28)",,"1,76m",right,-,2006
141,Vyacheslav Erbes,Vostok Oskemen,Defensive Midfield,-,"Jan 14, 1988 (17)",,"1,78m",right,-,2006
142,Anatoliy Bogdanov,Vostok Oskemen,Defensive Midfield,-,"Jun 7, 1981 (24)",,"1,86m",right,-,2006
143,Darkhan Yusupov,Vostok Oskemen,Midfielder,-,"Jan 10, 1987 (18)",,"1,78m",,-,2006
144,Daulet Nurasylov,Vostok Oskemen,Midfielder,-,"Nov 3, 1984 (21)",,"1,74m",,-,2006
145,Yuriy Gura,Vostok Oskemen,Midfielder,-,"Aug 8, 1976 (29)",,"1,84m",,-,2006
146,Andrey Anashkin,Vostok Oskemen,Midfielder,-,"Nov 16, 1983 (22)",,"1,73m",,-,2006
147,Sergiy Ditkovskyi,Vostok Oskemen,Centre-Forward,-,"Apr 16, 1979 (26)",,"1,83m",,-,2006
148,Gennadiy Shchekotylin,Vostok Oskemen,Centre-Forward,-,"Jul 28, 1974 (31)",,"1,88m",,-,2006
149,Pavel Udalov,Vostok Oskemen,Centre-Forward,-,"Jan 25, 1983 (22)",,"1,82m",right,-,2006
150,Vladimir Gurtuev,Vostok Oskemen,Striker,-,"Jul 2, 1971 (34)",,"1,82m",,-,2006
151,Vladimir Loginovskiy,Yesil-Bogatyr Petropavlovsk,Goalkeeper,-,"Oct 8, 1985 (20)",,"1,93m",right,-,2006
152,Vladimir Niklevich,Yesil-Bogatyr Petropavlovsk,Goalkeeper,-,"Oct 8, 1985 (20)",,"1,89m",right,-,2006
153,Sergey Davydenko,Yesil-Bogatyr Petropavlovsk,Goalkeeper,-,"Oct 9, 1968 (37)",,"1,81m",,-,2006
154,Sergiy Osadchyi,Yesil-Bogatyr Petropavlovsk,Defender,-,"Oct 30, 1970 (35)",,"1,80m",,-,2006
155,Stanislav Shulyak,Yesil-Bogatyr Petropavlovsk,Defender,-,"Nov 9, 1987 (18)",,"1,83m",,-,2006
156,Alikhan Shadiev,Yesil-Bogatyr Petropavlovsk,Defender,-,"Aug 8, 1985 (20)",,"1,80m",,-,2006
157,Dmitriy Yurkov,Yesil-Bogatyr Petropavlovsk,Defender,-,"Nov 13, 1985 (20)",,"1,82m",,-,2006
158,Kirill Keker,Yesil-Bogatyr Petropavlovsk,Centre-Back,-,"Jun 22, 1979 (26)",,"1,85m",right,-,2006
159,Oleksandr Stakhiv,Yesil-Bogatyr Petropavlovsk,Centre-Back,-,"Jan 13, 1981 (24)",,"1,90m",right,-,2006
160,Dmitriy Kishchenko,Yesil-Bogatyr Petropavlovsk,Centre-Back,-,"Mar 29, 1979 (26)",,"1,84m",,-,2006
161,Igor Shvydko,Yesil-Bogatyr Petropavlovsk,Centre-Back,-,"Sep 11, 1971 (34)",,"1,85m",right,-,2006
162,Aleksey Danaev,Yesil-Bogatyr Petropavlovsk,Left-Back,-,"Sep 1, 1979 (26)",,"1,83m",left,-,2006
163,Andriy Losnikov,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Aug 4, 1985 (20)",,"1,69m",,-,2006
164,Nikolay Solomin,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Apr 6, 1985 (20)",,"1,79m",,-,2006
165,Yuriy Chukhleba,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Sep 27, 1974 (31)",,"1,78m",right,-,2006
166,Akhmetzhan Akhmetzhanov,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Jan 16, 1986 (19)",,"1,77m",,-,2006
167,Zhanat Karguzhinov,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Mar 2, 1987 (18)",,"1,79m",right,-,2006
168,Kuat Shinikulov,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Oct 7, 1985 (20)",,"1,77m",,-,2006
169,Maksim Shevchenko,Yesil-Bogatyr Petropavlovsk,Central Midfield,-,"Mar 27, 1980 (25)",,"1,75m",,-,2006
170,Evgeniy Averchenko,Yesil-Bogatyr Petropavlovsk,Right Midfield,-,"Apr 6, 1982 (23)",,"1,72m",right,-,2006
171,David Grigoryan,Yesil-Bogatyr Petropavlovsk,Attacking Midfield,-,"Dec 28, 1982 (23)",,"1,76m",left,-,2006
172,Rafael Urazbakhtin,Yesil-Bogatyr Petropavlovsk,Centre-Forward,-,"Nov 20, 1978 (27)",,"1,80m",right,-,2006
173,Aram Voskanyan,Yesil-Bogatyr Petropavlovsk,Striker,-,"Aug 26, 1975 (30)",,"1,73m",,-,2006
174,Oleksandr Yarovenko,Yesil-Bogatyr Petropavlovsk,Centre-Forward,-,"Dec 19, 1987 (18)",,"1,83m",right,-,2006
175,Anton Oganesov,Yesil-Bogatyr Petropavlovsk,Striker,-,"May 31, 1980 (25)",,-,,-,2006
176,Sergey Yurevich,Yesil-Bogatyr Petropavlovsk,Striker,-,"Sep 11, 1979 (26)",,"1,64m",,-,2006
177,Denis Solovjev,Kairat Almaty,Goalkeeper,-,"Aug 18, 1977 (28)",,"1,92m",right,-,2006
178,Sergey Boychenko,Kairat Almaty,Goalkeeper,-,"Sep 27, 1977 (28)",,"1,98m",right,-,2006
179,Andrey Tsvetkov,Kairat Almaty,Goalkeeper,-,"Mar 20, 1980 (25)",,"1,91m",right,-,2006
180,Ilya Yurov,Kairat Almaty,Goalkeeper,-,"Sep 10, 1981 (24)",,"1,88m",right,-,2006
181,Erlan Tlevkulov,Kairat Almaty,Goalkeeper,-,"Jan 22, 1986 (19)",,-,,-,2006
182,Vladimir Velizhanin,Kairat Almaty,Defender,-,"Mar 24, 1987 (18)",,"1,80m",,-,2006
183,Almas Eszhanov,Kairat Almaty,Defender,-,"Aug 28, 1985 (20)",,"1,67m",,-,2006
184,Maksat Kolbaev,Kairat Almaty,Defender,-,"Mar 31, 1984 (21)",,"1,82m",,-,2006
185,Farkhadbek Irismetov,Kairat Almaty,Centre-Back,-,"Aug 10, 1981 (24)",,"1,83m",right,-,2006
186,Kairat Nurdauletov,Kairat Almaty,Centre-Back,-,"Nov 6, 1982 (23)",,"1,84m",right,-,2006
187,Vlado Danilov,Kairat Almaty,Centre-Back,-,"Aug 31, 1979 (26)",,"1,90m",right,-,2006
188,Vitaliy Artemov,Kairat Almaty,Centre-Back,-,"Feb 16, 1979 (26)",,"1,92m",both,-,2006
189,Renat Abdulin,Kairat Almaty,Centre-Back,-,"Apr 14, 1982 (23)",,"1,85m",right,-,2006
190,Evgeniy Nokhrin,Kairat Almaty,Centre-Back,-,"Mar 23, 1988 (17)",,"1,86m",right,-,2006
191,Igor Avdeev,Kairat Almaty,Centre-Back,-,"Jan 10, 1973 (32)",,"1,82m",right,-,2006
192,Timur Moldagaliev,Kairat Almaty,Centre-Back,-,"Sep 29, 1984 (21)",,"1,85m",right,-,2006
193,Valeriy Likhobabenko,Kairat Almaty,Centre-Back,-,"Feb 17, 1976 (29)",,"1,83m",left,-,2006
194,Sergey Kaputin,Kairat Almaty,Centre-Back,-,"Aug 22, 1983 (22)",,"1,85m",,-,2006
195,Gochguli Gochguliew,Kairat Almaty,Left-Back,-,"May 26, 1977 (28)",,"1,74m",left,-,2006
196,Kairat Utabaev,Kairat Almaty,Right-Back,-,"Jul 16, 1980 (25)",,"1,82m",both,-,2006
197,Andrey Karpovich,Kairat Almaty,Defensive Midfield,-,"Jan 18, 1981 (24)",,"1,77m",both,-,2006
198,Samat Smakov,Kairat Almaty,Defensive Midfield,-,"Dec 8, 1978 (27)",,"1,82m",both,-,2006
199,Goran Bošković,Kairat Almaty,Defensive Midfield,-,"Oct 11, 1976 (29)",,"1,81m",left,-,2006
200,Erlen Bekmukhaev,Kairat Almaty,Defensive Midfield,-,"Feb 25, 1985 (20)",,"1,83m",right,-,2006
201,Iurie Osipenco,Kairat Almaty,Midfielder,-,"Jul 6, 1974 (31)",,N/Am,N/A,-,2006
202,Evgeniy Malinin,Kairat Almaty,Midfielder,-,"Sep 8, 1986 (19)",,"1,76m",,-,2006
203,Valeriy Pastukhov,Kairat Almaty,Midfielder,-,"Dec 17, 1983 (22)",,"1,76m",,-,2006
204,Zhandos Orazaliev,Kairat Almaty,Midfielder,-,"Oct 3, 1985 (20)",,"1,88m",,-,2006
205,Raim Musaev,Kairat Almaty,Midfielder,-,"May 9, 1988 (17)",,"1,80m",,-,2006
206,Adil Gabdullin,Kairat Almaty,Midfielder,-,"Jan 9, 1986 (19)",,-,,-,2006
207,Viktor Karpenko,Kairat Almaty,Right Midfield,-,"Sep 7, 1977 (28)",,"1,77m",both,-,2006
208,Ali Aliev,Kairat Almaty,Left Midfield,-,"Oct 27, 1980 (25)",,"1,75m",left,-,2006
209,Ashkat Kadyrkulov,Kairat Almaty,Left Midfield,-,"Nov 14, 1974 (31)",,"1,78m",,-,2006
210,Nenad Begovic,Kairat Almaty,Attacking Midfield,-,"Jan 6, 1980 (25)",,"1,83m",right,-,2006
211,Andrey Bogomolov,Kairat Almaty,Attacking Midfield,-,"Apr 11, 1977 (28)",,"1,83m",right,-,2006
212,Ruslan Sakhalbaev,Kairat Almaty,Attacking Midfield,-,"Jun 27, 1984 (21)",,"1,68m",right,-,2006
213,Vyacheslav Nurmagombetov,Kairat Almaty,Right Winger,-,"Aug 10, 1984 (21)",,"1,84m",right,-,2006
214,Arsen Tlekhugov,Kairat Almaty,Centre-Forward,-,"Nov 3, 1976 (29)",,"1,82m",both,-,2006
215,Vladimir Ribic,Kairat Almaty,Centre-Forward,-,"Mar 28, 1981 (24)",,"1,84m",right,-,2006
216,Alibek Buleshev,Kairat Almaty,Centre-Forward,-,"Apr 9, 1981 (24)",,"1,75m",right,-,2006
217,Petar Shopov,Kairat Almaty,Centre-Forward,-,"Jan 14, 1978 (27)",,"1,86m",right,-,2006
218,Dauren Kusainov,Kairat Almaty,Centre-Forward,-,"Apr 10, 1984 (21)",,"1,82m",right,-,2006
219,Konstantin Aleynikov,Kairat Almaty,Centre-Forward,-,"Aug 28, 1987 (18)",,"1,90m",,-,2006
220,Artem Gavrilenko,Kairat Almaty,Striker,-,"Mar 26, 1984 (21)",,"1,73m",,-,2006
221,Aydar Argimbaev,Kairat Almaty,Centre-Forward,-,"Jul 24, 1986 (19)",,"1,85m",right,-,2006
222,Arman Birkurmanov,Kairat Almaty,Striker,-,"Jan 31, 1982 (23)",,"1,80m",,-,2006
223,Rustem Kaliev,Kairat Almaty,Striker,-,"Jul 19, 1986 (19)",,-,,-,2006
224,Oleg Tarasov,Kairat Almaty,Striker,-,"Jan 9, 1982 (23)",,"1,78m",,-,2006
225,Yaroslav Baginskiy,Okzhetpes Kokshetau,Goalkeeper,-,"Oct 3, 1987 (18)",,"1,85m",right,-,2006
