,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
52,Timur Dosmagambetov,FK Aktobe,Left-Back,11,"May 1, 1989 (19)",,"1,72m",left,-,2009
53,Yuri Mokrousov,FK Aktobe,Left-Back,12,"Apr 21, 1989 (19)",,"1,83m",left,-,2009
54,Anton Chichulin,FK Aktobe,Right-Back,6,"Oct 27, 1984 (24)",,"1,82m",right,€100k,2009
55,Petr Badlo,FK Aktobe,Right-Back,5,"May 24, 1976 (32)",,"1,78m",right,-,2009
56,Samat Smakov,FK Aktobe,Defensive Midfield,8,"Dec 8, 1978 (30)",,"1,82m",both,€1.00m,2009
57,Andrey Lavrik,FK Aktobe,Defensive Midfield,-,"Dec 7, 1974 (34)",,"1,77m",right,€300k,2009
58,Andrey Karpovich,FK Aktobe,Defensive Midfield,20,"Jan 18, 1981 (27)",,"1,77m",both,€200k,2009
59,Yuriy Logvinenko,FK Aktobe,Defensive Midfield,23,"Jul 22, 1988 (20)",,"1,87m",left,-,2009
60,Alain Bono,FK Aktobe,Central Midfield,3,"Dec 19, 1983 (25)",,"1,78m",right,€275k,2009
61,Maksat Bayzhanov,FK Aktobe,Central Midfield,7,"Aug 6, 1984 (24)",,"1,80m",right,€100k,2009
62,Konstantin Golovskoy,FK Aktobe,Central Midfield,17,"Apr 25, 1975 (33)",,"1,86m",right,€50k,2009
63,Oleksandr Mitrofanov,FK Aktobe,Central Midfield,-,"Nov 1, 1977 (31)",,"1,72m",,-,2009
64,Denis Rodionov,FK Aktobe,Central Midfield,-,"Jul 26, 1985 (23)",,"1,78m",both,-,2009
65,Aslan Darabaev,FK Aktobe,Central Midfield,14,"Jan 21, 1989 (19)",,"1,79m",right,-,2009
66,Evgeniy Averchenko,FK Aktobe,Right Midfield,30,"Apr 6, 1982 (26)",,"1,72m",right,-,2009
67,Andrey Bogomolov,FK Aktobe,Attacking Midfield,-,"Apr 11, 1977 (31)",,"1,83m",right,-,2009
68,Nikita Khokhlov,FK Aktobe,Attacking Midfield,4,"Oct 27, 1983 (25)",,"1,82m",both,-,2009
69,Marat Khayrullin,FK Aktobe,Attacking Midfield,7,"Apr 26, 1984 (24)",,"1,76m",right,-,2009
70,Akzhol Serikzhanov,FK Aktobe,Attacking Midfield,18,"May 6, 1990 (18)",,"1,75m",right,-,2009
71,Titi Essomba,FK Aktobe,Right Winger,22,"May 23, 1986 (22)",,"1,78m",right,€600k,2009
72,Ivan Peric,FK Aktobe,Centre-Forward,33,"May 5, 1982 (26)",,"1,89m",right,€400k,2009
73,Murat Tleshev,FK Aktobe,Centre-Forward,9,"Apr 18, 1980 (28)",,"1,88m",right,€150k,2009
74,Ulugbek Asanbaev,FK Aktobe,Centre-Forward,-,"Sep 13, 1979 (29)",,"1,83m",,€75k,2009
75,Nikolay Zabrodin,FK Aktobe,Centre-Forward,-,"Jul 23, 1990 (18)",,"1,78m",right,-,2009
76,Damir Baymagambetov,FK Aktobe,Striker,20,"Oct 20, 1992 (16)",,"1,77m",right,-,2009
77,Sergey Strukov,FK Aktobe,Centre-Forward,27,"Sep 17, 1982 (26)",,"1,92m",right,-,2009
78,Maksat Kurmashev,FK Aktobe,Striker,32,"Aug 14, 1991 (17)",,"1,76m",,-,2009
79,Sergey Lisenkov,FK Aktobe,Centre-Forward,91,"Jun 17, 1991 (17)",,"1,92m",right,-,2009
80,Sergiy Sarana,Shakhter Karaganda,Goalkeeper,16,"Dec 7, 1978 (30)",,"1,86m",,€50k,2009
81,Aleksandr Grigorenko,Shakhter Karaganda,Goalkeeper,1,"Feb 6, 1985 (23)",,"1,82m",right,€25k,2009
82,Igor Shatskiy,Shakhter Karaganda,Goalkeeper,-,"May 11, 1989 (19)",,"1,85m",right,-,2009
83,Ayan Kusainov,Shakhter Karaganda,Defender,-,"Jun 10, 1990 (18)",,"1,83m",,-,2009
84,Fedor Rudenko,Shakhter Karaganda,Defender,40,"Mar 28, 1990 (18)",,"1,87m",,-,2009
85,Aleksandr Kislitsyn,Shakhter Karaganda,Centre-Back,5,"Mar 8, 1986 (22)",,"1,89m",right,€150k,2009
86,Aldin Dzidic,Shakhter Karaganda,Centre-Back,20,"Aug 30, 1983 (25)",,"1,97m",right,€125k,2009
87,Aleksey Danaev,Shakhter Karaganda,Left-Back,4,"Sep 1, 1979 (29)",,"1,83m",left,-,2009
88,Evgeniy Goryachiy,Shakhter Karaganda,Left-Back,22,"Feb 2, 1991 (17)",,"1,86m",left,-,2009
89,Sasa Djordjevic,Shakhter Karaganda,Right-Back,2,"Aug 4, 1981 (27)",,"1,86m",right,€150k,2009
90,Sergey Kozyulin,Shakhter Karaganda,Right-Back,-,"Aug 2, 1980 (28)",,"1,80m",right,-,2009
91,Anuar Tokenov,Shakhter Karaganda,Right-Back,-,"May 28, 1991 (17)",,"1,75m",right,-,2009
92,Evgeniy Tarasov,Shakhter Karaganda,Right-Back,13,"Apr 16, 1985 (23)",,"1,83m",right,-,2009
93,Gediminas Vicius,Shakhter Karaganda,Defensive Midfield,3,"Jul 5, 1985 (23)",,"1,89m",right,€100k,2009
94,Sergey Skorykh,Shakhter Karaganda,Defensive Midfield,9,"May 25, 1984 (24)",,"1,84m",right,€50k,2009
95,Mladen Hasija,Shakhter Karaganda,Midfielder,11,"Jun 28, 1986 (22)",,"1,76m",,-,2009
96,Igor Pikalkin,Shakhter Karaganda,Defensive Midfield,12,"Mar 19, 1992 (16)",,"1,82m",right,-,2009
97,Anatoliy Bogdanov,Shakhter Karaganda,Defensive Midfield,15,"Jun 7, 1981 (27)",,"1,86m",right,-,2009
98,Grigoriy Dubkov,Shakhter Karaganda,Defensive Midfield,21,"Nov 22, 1990 (18)",,"1,85m",right,-,2009
99,Aleksey Suchkov,Shakhter Karaganda,Left Midfield,17,"Jun 10, 1981 (27)",,"1,88m",left,€400k,2009
100,Askhat Borantaev,Shakhter Karaganda,Left Midfield,7,"Aug 22, 1978 (30)",,"1,70m",left,-,2009
101,Vitaliy Lee,Shakhter Karaganda,Left Winger,-,"Mar 13, 1994 (14)",,"1,86m",both,-,2009
102,Vadim Borovskiy,Shakhter Karaganda,Right Winger,8,"Oct 30, 1986 (22)",,"1,72m",right,-,2009
103,Vladislav Akhmeev,Shakhter Karaganda,Right Winger,47,"Dec 19, 1992 (16)",,"1,70m",right,-,2009
104,Jimmy Mulisa,Shakhter Karaganda,Centre-Forward,-,"Apr 3, 1984 (24)",,"1,86m",right,€200k,2009
105,Andrey Finonchenko,Shakhter Karaganda,Centre-Forward,14,"Jun 21, 1982 (26)",,"1,77m",right,€50k,2009
106,Sergey Schaff,Shakhter Karaganda,Centre-Forward,10,"Apr 15, 1988 (20)",,"1,87m",right,-,2009
107,Nikita Bildinov,Shakhter Karaganda,Striker,23,"Jan 12, 1990 (18)",,"1,75m",,-,2009
108,Aydos Tattybaev,Shakhter Karaganda,Centre-Forward,43,"Apr 26, 1990 (18)",,"1,86m",right,-,2009
109,Kirill Pryadkin,FK Atyrau,Goalkeeper,-,"Jul 6, 1977 (31)",,"1,85m",right,€50k,2009
110,Nurbolat Kalmenov,FK Atyrau,Goalkeeper,-,"Sep 15, 1990 (18)",,"1,88m",right,-,2009
111,Andrey Shabanov,FK Atyrau,Goalkeeper,1,"Nov 17, 1986 (22)",,"1,84m",right,-,2009
112,Ivan Sivozhelezov,FK Atyrau,Goalkeeper,22,"Mar 12, 1985 (23)",,"1,95m",right,-,2009
113,Damir Nuribekov,FK Atyrau,Defender,-,"Nov 28, 1989 (19)",,-,,-,2009
114,Maksim Mirzhanov,FK Atyrau,Defender,-,"Mar 16, 1990 (18)",,-,,-,2009
115,Vasile Tugutchi,FK Atyrau,Defender,2,"Jan 14, 1987 (21)",,"1,83m",,-,2009
116,Vitaliy Shumeyko,FK Atyrau,Centre-Back,5,"Oct 6, 1981 (27)",,"1,93m",right,€450k,2009
117,Ilya Vorotnikov,FK Atyrau,Centre-Back,4,"Feb 1, 1986 (22)",,"1,86m",right,-,2009
118,Gradimir Crnogorac,FK Atyrau,Centre-Back,5,"Nov 14, 1982 (26)",,"1,90m",left,-,2009
119,Vladimir Sedelnikov,FK Atyrau,Centre-Back,19,"Oct 15, 1991 (17)",,"1,93m",right,-,2009
120,Abzal Zhumabaev,FK Atyrau,Right-Back,3,"May 28, 1986 (22)",,"1,77m",right,-,2009
121,Valentin Chureev,FK Atyrau,Right-Back,8,"Aug 29, 1986 (22)",,"1,73m",right,-,2009
122,Bakyt Abuov,FK Atyrau,Right-Back,17,"Jan 24, 1989 (19)",,"1,77m",right,-,2009
123,Dauren Kayralliev,FK Atyrau,Defensive Midfield,-,"May 15, 1992 (16)",,"1,76m",right,-,2009
124,Dmitriy Strunyashev,FK Atyrau,Midfielder,-,"Mar 15, 1991 (17)",,"1,71m",,-,2009
125,Piraly Aliev,FK Atyrau,Defensive Midfield,7,"Jan 13, 1984 (24)",,"1,80m",right,-,2009
126,Almat Abdramanov,FK Atyrau,Midfielder,14,"Mar 12, 1990 (18)",,"1,69m",,-,2009
127,Telman Zununov,FK Atyrau,Midfielder,15,"Aug 17, 1989 (19)",,"1,74m",,-,2009
128,Evgeniy Kostrub,FK Atyrau,Defensive Midfield,23,"Aug 27, 1982 (26)",,"1,77m",right,-,2009
129,Sergey Larin,FK Atyrau,Central Midfield,77,"Jul 22, 1986 (22)",,"1,83m",right,€100k,2009
130,Dmitriy Mamonov,FK Atyrau,Central Midfield,88,"Apr 26, 1978 (30)",,"1,73m",right,-,2009
131,Asylbek Seytkaliev,FK Atyrau,Attacking Midfield,-,"Feb 29, 1992 (16)",,"1,68m",right,-,2009
132,Ruslan Sakhalbaev,FK Atyrau,Attacking Midfield,11,"Jun 27, 1984 (24)",,"1,68m",right,-,2009
133,Marius Croitoru,FK Atyrau,Right Winger,25,"Oct 2, 1980 (28)",,"1,75m",right,€350k,2009
134,Aleksey Shakin,FK Atyrau,Right Winger,6,"Aug 6, 1984 (24)",,"1,78m",right,-,2009
135,Giorgi Peikrishvili,FK Atyrau,Right Winger,10,"Feb 28, 1983 (25)",,"1,77m",both,-,2009
136,Bauyrzhan Dzholchiev,FK Atyrau,Right Winger,22,"May 8, 1990 (18)",,"1,90m",right,-,2009
137,Viorel Frunza,FK Atyrau,Centre-Forward,24,"Dec 6, 1979 (29)",,"1,91m",left,€200k,2009
138,Tigran Gharabaghtsyan,FK Atyrau,Centre-Forward,-,"Jun 6, 1984 (24)",,"1,94m",right,-,2009
139,Sergey Khizhnichenko,FK Atyrau,Centre-Forward,-,"Jul 17, 1991 (17)",,"1,87m",right,-,2009
140,Beybit Tatishev,FK Atyrau,Centre-Forward,9,"Jul 24, 1984 (24)",,"1,85m",both,-,2009
141,Nenad Eric,Kairat Almaty,Goalkeeper,1,"May 26, 1982 (26)",,"1,97m",right,€300k,2009
142,Andrey Pasechenko,Kairat Almaty,Goalkeeper,-,"Aug 9, 1987 (21)",,"1,80m",right,-,2009
143,Akhan Inkarbekov,Kairat Almaty,Goalkeeper,-,"Jun 26, 1990 (18)",,-,,-,2009
144,Ilya Yurov,Kairat Almaty,Goalkeeper,18,"Sep 10, 1981 (27)",,"1,88m",right,-,2009
145,Farkhadbek Imamov,Kairat Almaty,Defender,-,"Mar 15, 1990 (18)",,-,,-,2009
146,Bekzat Usenov,Kairat Almaty,Defender,-,"May 23, 1991 (17)",,-,,-,2009
147,Arman Alimbetov,Kairat Almaty,Defender,29,"May 20, 1988 (20)",,"1,76m",,-,2009
148,Kairat Nurdauletov,Kairat Almaty,Centre-Back,44,"Nov 6, 1982 (26)",,"1,84m",right,€100k,2009
149,Evgeniy Ovshinov,Kairat Almaty,Centre-Back,17,"Oct 17, 1980 (28)",,"1,78m",right,-,2009
150,Bojan Trkulja,Kairat Almaty,Centre-Back,19,"Feb 20, 1982 (26)",,"1,84m",right,-,2009
151,Sergey Kutsov,Kairat Almaty,Centre-Back,20,"Apr 23, 1977 (31)",,"1,91m",right,-,2009
152,Kairat Utabaev,Kairat Almaty,Right-Back,14,"Jul 16, 1980 (28)",,"1,82m",both,-,2009
153,Vyacheslav Sobolev,Kairat Almaty,Right-Back,6,"Oct 13, 1984 (24)",,"1,69m",both,-,2009
154,Abzal Beysebekov,Kairat Almaty,Right-Back,9,"Nov 30, 1992 (16)",,"1,87m",right,-,2009
155,Ilyas Amirseitov,Kairat Almaty,Right-Back,13,"Oct 22, 1989 (19)",,"1,79m",right,-,2009
156,Maksat Kusherbaev,Kairat Almaty,Midfielder,-,"May 14, 1990 (18)",,-,,-,2009
157,Oral Paviz,Kairat Almaty,Midfielder,23,"May 6, 1987 (21)",,"1,79m",,-,2009
158,Bekzat Beysenov,Kairat Almaty,Defensive Midfield,41,"Feb 18, 1987 (21)",,"1,82m",right,-,2009
159,Konstantin Zotov,Kairat Almaty,Central Midfield,5,"Jan 14, 1986 (22)",,"1,80m",right,-,2009
160,Vladimir Noskov,Kairat Almaty,Central Midfield,86,"Jan 28, 1986 (22)",,"1,77m",right,-,2009
161,Chingiz Abugaliev,Kairat Almaty,Left Midfield,11,"Oct 11, 1986 (22)",,"1,87m",both,€50k,2009
162,Rakhimzhan Rozybakiev,Kairat Almaty,Left Midfield,15,"Jan 2, 1991 (17)",,"1,88m",right,-,2009
163,Artem Fomin,Kairat Almaty,Attacking Midfield,7,"Jul 8, 1988 (20)",,"1,85m",right,€200k,2009
164,Sabyrkhan Ibraev,Kairat Almaty,Attacking Midfield,8,"Mar 22, 1988 (20)",,"1,77m",right,-,2009
165,Andrey Bogomolov,Kairat Almaty,Attacking Midfield,47,"Apr 11, 1977 (31)",,"1,83m",right,-,2009
166,Ruslan Mansurov,Kairat Almaty,Left Winger,28,"Nov 23, 1990 (18)",,"1,77m",left,-,2009
167,Bekzhan Alipbekov,Kairat Almaty,Right Winger,-,"May 17, 1990 (18)",,"1,72m",right,-,2009
168,Arman Khalykov,Kairat Almaty,Right Winger,21,"Mar 1, 1990 (18)",,"1,77m",right,-,2009
169,Dragan Gosic,Kairat Almaty,Centre-Forward,81,"Jun 10, 1981 (27)",,"1,91m",left,€100k,2009
170,Talgat Sabalakov,Kairat Almaty,Centre-Forward,44,"Jul 9, 1986 (22)",,"1,76m",right,€50k,2009
171,Damirzhan Turganbaev,Kairat Almaty,Striker,-,"Dec 20, 1991 (17)",,-,,-,2009
172,Dragan Djurdjevic,Kairat Almaty,Centre-Forward,10,"Apr 18, 1981 (27)",,"1,93m",right,-,2009
173,Azat Bitabarov,FK Taraz,Goalkeeper,-,"Jan 14, 1990 (18)",,"1,83m",right,-,2009
174,Dzhurakhon Babakhanov,FK Taraz,Goalkeeper,-,"Oct 31, 1991 (17)",,"1,90m",right,-,2009
175,Murat Mukashev,FK Taraz,Goalkeeper,20,"Sep 18, 1982 (26)",,"1,80m",right,-,2009
176,Arslan Satubaldin,FK Taraz,Goalkeeper,77,"Aug 11, 1984 (24)",,"1,93m",right,-,2009
177,Aziz Anarmetov,FK Taraz,Defender,-,"Jul 30, 1982 (26)",,"1,82m",,-,2009
178,Vasile Tugutchi,FK Taraz,Defender,-,"Jan 14, 1987 (21)",,"1,83m",,-,2009
179,Igor Soltanici,FK Taraz,Defender,4,"May 4, 1984 (24)",,"1,84m",,-,2009
180,Amangeldy Zhusupov,FK Taraz,Defender,6,"Jul 18, 1988 (20)",,"1,84m",,-,2009
181,Zhandos Akhmetov,FK Taraz,Defender,8,"Feb 4, 1987 (21)",,"1,87m",,-,2009
182,Nikola Tonev,FK Taraz,Centre-Back,15,"Nov 12, 1985 (23)",,"1,87m",both,€100k,2009
183,Berik Aytbaev,FK Taraz,Centre-Back,-,"Jun 26, 1991 (17)",,"1,84m",right,-,2009
184,Alik Haydarov,FK Taraz,Centre-Back,27,"Apr 27, 1981 (27)",,"1,83m",right,-,2009
185,Dumitru Bogdan,FK Taraz,Left-Back,-,"Mar 4, 1989 (19)",,"1,86m",,-,2009
186,Dmitriy Evstigneev,FK Taraz,Left-Back,19,"Nov 21, 1986 (22)",,"1,81m",left,-,2009
187,Maksat Amirkhanov,FK Taraz,Right-Back,2,"Feb 10, 1992 (16)",,"1,72m",right,-,2009
188,Nurtas Kurgulin,FK Taraz,Right-Back,5,"Sep 20, 1986 (22)",,"1,75m",right,-,2009
189,Nurdaulet Seydikhanov,FK Taraz,Midfielder,-,"Feb 18, 1992 (16)",,"1,78m",,-,2009
190,Ruslan Islamov,FK Taraz,Midfielder,13,"Mar 5, 1991 (17)",,"1,74m",,-,2009
191,Vaid Talgaev,FK Taraz,Midfielder,14,"Dec 21, 1990 (18)",,"1,81m",,-,2009
192,Galymzhan Alimbaev,FK Taraz,Midfielder,23,"May 9, 1989 (19)",,"1,76m",,-,2009
193,Uros Milosavljevic,FK Taraz,Central Midfield,21,"Jul 13, 1982 (26)",,"1,83m",both,€50k,2009
194,Anton Zemlyanukhin,FK Taraz,Left Midfield,44,"Dec 11, 1988 (20)",,"1,75m",left,€300k,2009
195,Ardak Karpyk,FK Taraz,Left Midfield,-,"Apr 1, 1992 (16)",,"1,77m",left,-,2009
196,Bauyrzhan Islamkhan,FK Taraz,Attacking Midfield,-,"Feb 23, 1993 (15)",,"1,74m",right,-,2009
197,Bauyrzhan Baytana,FK Taraz,Attacking Midfield,9,"May 6, 1992 (16)",,"1,74m",both,-,2009
198,Oleg Nedashkovskiy,FK Taraz,Attacking Midfield,17,"Sep 9, 1987 (21)",,"1,84m",right,-,2009
199,Milan Jovanovic,FK Taraz,Right Winger,24,"Oct 14, 1983 (25)",,"1,87m",right,€200k,2009
200,Sherkhan Bauyrzhan,FK Taraz,Right Winger,-,"Aug 28, 1992 (16)",,"1,78m",right,-,2009
201,Ulan Konysbaev,FK Taraz,Right Winger,7,"May 28, 1989 (19)",,"1,75m",right,-,2009
202,Erzat Kenbaev,FK Taraz,Second Striker,11,"Apr 22, 1988 (20)",,"1,78m",right,-,2009
203,Alibek Buleshev,FK Taraz,Centre-Forward,10,"Apr 9, 1981 (27)",,"1,75m",right,-,2009
204,Kairat Suley,FK Taraz,Striker,18,"Oct 26, 1985 (23)",,"1,80m",,-,2009
205,Roman Gerus,Lokomotiv Astana,Goalkeeper,77,"Sep 14, 1980 (28)",,"1,92m",right,€650k,2009
206,Roman Nesterenko,Lokomotiv Astana,Goalkeeper,-,"Mar 22, 1977 (31)",,"1,99m",right,-,2009
207,Arslan Satubaldin,Lokomotiv Astana,Goalkeeper,-,"Aug 11, 1984 (24)",,"1,93m",right,-,2009
208,Aleksey Buluchevskiy,Lokomotiv Astana,Goalkeeper,-,"Aug 8, 1987 (21)",,"1,89m",,-,2009
209,Aleksey Belkin,Lokomotiv Astana,Goalkeeper,1,"Nov 25, 1981 (27)",,"1,94m",right,-,2009
210,Mikhail Rozhkov,Lokomotiv Astana,Centre-Back,27,"Dec 27, 1983 (25)",,"1,91m",right,€1.20m,2009
211,Denis Ilescu,Lokomotiv Astana,Centre-Back,4,"Jan 20, 1987 (21)",,"1,89m",right,€200k,2009
212,Kairat Nurdauletov,Lokomotiv Astana,Centre-Back,-,"Nov 6, 1982 (26)",,"1,84m",right,€100k,2009
213,Mark Gurman,Lokomotiv Astana,Centre-Back,-,"Feb 9, 1989 (19)",,"1,79m",right,-,2009
214,Ivan Shevchenko,Lokomotiv Astana,Centre-Back,-,"Sep 10, 1987 (21)",,"1,85m",right,-,2009
215,Damir Dautov,Lokomotiv Astana,Centre-Back,2,"Mar 3, 1990 (18)",,"1,87m",right,-,2009
216,Aleksandr Kirov,Lokomotiv Astana,Centre-Back,3,"Sep 4, 1984 (24)",,"1,88m",right,-,2009
217,Renat Abdulin,Lokomotiv Astana,Centre-Back,19,"Apr 14, 1982 (26)",,"1,85m",right,-,2009
218,Olzhas Kerimzhanov,Lokomotiv Astana,Centre-Back,31,"May 16, 1989 (19)",,"1,89m",right,-,2009
219,Maksim Samchenko,Lokomotiv Astana,Left-Back,5,"May 5, 1979 (29)",,"1,80m",left,-,2009
220,Vlade Lazarevski,Lokomotiv Astana,Right-Back,-,"Jun 9, 1983 (25)",,"1,86m",right,€900k,2009
221,Sergey Akhanov,Lokomotiv Astana,Right-Back,-,"Jul 27, 1989 (19)",,"1,81m",right,€25k,2009
222,Talgat Adyrbekov,Lokomotiv Astana,Right-Back,-,"Jan 26, 1989 (19)",,"1,78m",right,-,2009
223,Vyacheslav Erbes,Lokomotiv Astana,Defensive Midfield,15,"Jan 14, 1988 (20)",,"1,78m",right,-,2009
224,Valeriu Andronic,Lokomotiv Astana,Central Midfield,9,"Dec 21, 1982 (26)",,"1,76m",right,€125k,2009
225,Rinat Khasenov,Lokomotiv Astana,Central Midfield,-,"May 8, 1987 (21)",,"1,78m",right,-,2009
226,Marat Shakhmetov,Lokomotiv Astana,Central Midfield,22,"Feb 6, 1989 (19)",,"1,82m",right,-,2009
227,Roman Pakholyuk,Lokomotiv Astana,Right Midfield,11,"Oct 3, 1979 (29)",,"1,75m",right,-,2009
228,Olzhas Spanov,Lokomotiv Astana,Right Midfield,32,"Nov 30, 1989 (19)",,"1,75m",right,-,2009
229,Zhambyl Kukeev,Lokomotiv Astana,Left Midfield,7,"Sep 20, 1988 (20)",,"1,77m",both,-,2009
230,Maksim Azovskiy,Lokomotiv Astana,Attacking Midfield,18,"Jun 4, 1986 (22)",,"1,89m",right,€100k,2009
