,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
34,Dmitri Protorchin,Kairat-Almaty KTZ,Right-Back,-,"Jul 2, 1978 (25)",,"1,78m",right,-,2004
35,Andrey Karpovich,Kairat-Almaty KTZ,Defensive Midfield,-,"Jan 18, 1981 (22)",,"1,77m",both,-,2004
36,Samat Smakov,Kairat-Almaty KTZ,Defensive Midfield,-,"Dec 8, 1978 (25)",,"1,82m",both,-,2004
37,Piraly Aliev,Kairat-Almaty KTZ,Defensive Midfield,-,"Jan 13, 1984 (19)",,"1,80m",right,-,2004
38,Christian Dicu,Kairat-Almaty KTZ,Midfielder,-,"Nov 4, 1973 (30)",,"1,74m",,-,2004
39,Viktor Karpenko,Kairat-Almaty KTZ,Right Midfield,-,"Sep 7, 1977 (26)",,"1,77m",both,-,2004
40,Evgeniy Lovchev,Kairat-Almaty KTZ,Right Midfield,-,"Aug 6, 1975 (28)",,"1,79m",right,-,2004
41,Ali Aliev,Kairat-Almaty KTZ,Left Midfield,-,"Oct 27, 1980 (23)",,"1,75m",left,-,2004
42,Ionut Lutu,Kairat-Almaty KTZ,Attacking Midfield,-,"Aug 3, 1975 (28)",,"1,69m",right,-,2004
43,Andrey Bogomolov,Kairat-Almaty KTZ,Attacking Midfield,-,"Apr 11, 1977 (26)",,"1,83m",right,-,2004
44,Arsen Tlekhugov,Kairat-Almaty KTZ,Centre-Forward,-,"Nov 3, 1976 (27)",,"1,82m",both,-,2004
45,Ulugbek Asanbaev,Kairat-Almaty KTZ,Centre-Forward,-,"Sep 13, 1979 (24)",,"1,83m",,-,2004
46,Jafar Irismetov,Kairat-Almaty KTZ,Centre-Forward,-,"Aug 23, 1976 (27)",,"1,73m",right,-,2004
47,Alibek Buleshev,Kairat-Almaty KTZ,Centre-Forward,-,"Apr 9, 1981 (22)",,"1,75m",right,-,2004
48,Arturas Fomenka,Kairat-Almaty KTZ,Centre-Forward,-,"Feb 14, 1977 (26)",,"1,85m",right,-,2004
49,Kirill Pryadkin,Irtysh Pavlodar,Goalkeeper,-,"Jul 6, 1977 (26)",,"1,85m",right,-,2004
50,Dmitriy Dralov,Irtysh Pavlodar,Goalkeeper,-,"Jun 22, 1984 (19)",,"1,87m",,-,2004
51,Yuriy Novikov,Irtysh Pavlodar,Goalkeeper,-,"May 19, 1972 (31)",,-,,-,2004
52,Bojan Simic,Irtysh Pavlodar,Defender,-,"Nov 26, 1976 (27)",,"1,73m",,-,2004
53,Lubomir Kubica,Irtysh Pavlodar,Centre-Back,-,"Mar 10, 1979 (24)",,"1,84m",right,-,2004
54,Vladislav Chernyshov,Irtysh Pavlodar,Centre-Back,-,"Mar 16, 1981 (22)",,"1,86m",right,-,2004
55,Evgeniy Ovshinov,Irtysh Pavlodar,Centre-Back,-,"Oct 17, 1980 (23)",,"1,78m",right,-,2004
56,Ilya Vorotnikov,Irtysh Pavlodar,Centre-Back,-,"Feb 1, 1986 (17)",,"1,86m",right,-,2004
57,Serik Zheylitbaev,Irtysh Pavlodar,Midfielder,-,"Aug 23, 1974 (29)",,"1,77m",,-,2004
58,Sergey Skorykh,Irtysh Pavlodar,Defensive Midfield,-,"May 25, 1984 (19)",,"1,84m",right,-,2004
59,Goran Bošković,Irtysh Pavlodar,Defensive Midfield,-,"Oct 11, 1976 (27)",,"1,81m",left,-,2004
60,Evgeniy Meshkov,Irtysh Pavlodar,Defensive Midfield,-,"Sep 3, 1984 (19)",,"1,80m",right,-,2004
61,Yuri Agapov,Irtysh Pavlodar,Midfielder,-,"Jun 27, 1980 (23)",,"1,80m",,-,2004
62,Vladyslav Sukhomlynov,Irtysh Pavlodar,Midfielder,-,"Jan 2, 1978 (25)",,"1,80m",,-,2004
63,Andrey Kucheryavykh,Irtysh Pavlodar,Midfielder,-,"Sep 24, 1970 (33)",,"1,77m",,-,2004
64,Maksat Bayzhanov,Irtysh Pavlodar,Central Midfield,-,"Aug 6, 1984 (19)",,"1,80m",right,-,2004
65,Maksim Primak,Irtysh Pavlodar,Central Midfield,-,"Oct 26, 1981 (22)",,"1,73m",right,-,2004
66,Vladimir Noskov,Irtysh Pavlodar,Central Midfield,-,"Jan 28, 1986 (17)",,"1,77m",right,-,2004
67,Nikolay Nesterenko,Irtysh Pavlodar,Right Midfield,-,"Dec 17, 1984 (19)",,"1,76m",right,-,2004
68,Konstantin Zarechnyi,Irtysh Pavlodar,Left Winger,-,"Feb 14, 1984 (19)",,"1,79m",both,-,2004
69,Miodrag Andjelkovic,Irtysh Pavlodar,Centre-Forward,-,"Feb 7, 1977 (26)",,"1,86m",,-,2004
70,Murat Tleshev,Irtysh Pavlodar,Centre-Forward,-,"Apr 18, 1980 (23)",,"1,88m",right,-,2004
71,Didarklych Urazov,Irtysh Pavlodar,Striker,-,"Feb 27, 1977 (26)",,"1,68m",,-,2004
72,Veaceslav Sofroni,Irtysh Pavlodar,Centre-Forward,-,"Apr 30, 1984 (19)",,"1,85m",right,-,2004
73,Muslim Agayev,Irtysh Pavlodar,Striker,-,"Apr 29, 1974 (29)",,"1,77m",,-,2004
74,Daniil Rikhard,Yesil-Bogatyr Petropavlovsk,Goalkeeper,-,"Feb 27, 1974 (29)",,"1,90m",right,-,2004
75,Vladimir Loginovskiy,Yesil-Bogatyr Petropavlovsk,Goalkeeper,-,"Oct 8, 1985 (18)",,"1,93m",right,-,2004
76,Sergey Davydenko,Yesil-Bogatyr Petropavlovsk,Goalkeeper,-,"Oct 9, 1968 (35)",,"1,81m",,-,2004
77,Tomas Stastka,Yesil-Bogatyr Petropavlovsk,Defender,-,"Mar 12, 1975 (28)",,"1,82m",,-,2004
78,Sergiy Osadchyi,Yesil-Bogatyr Petropavlovsk,Defender,-,"Oct 30, 1970 (33)",,"1,80m",,-,2004
79,Stanislav Shulyak,Yesil-Bogatyr Petropavlovsk,Defender,-,"Nov 9, 1987 (16)",,"1,83m",,-,2004
80,Igor Goryachev,Yesil-Bogatyr Petropavlovsk,Defender,-,"Jul 7, 1975 (28)",,-,,-,2004
81,Omar Berdiew,Yesil-Bogatyr Petropavlovsk,Centre-Back,-,"Jun 25, 1979 (24)",,"1,83m",,-,2004
82,Dmitriy Kishchenko,Yesil-Bogatyr Petropavlovsk,Centre-Back,-,"Mar 29, 1979 (24)",,"1,84m",,-,2004
83,Rustam Shaymardanov,Yesil-Bogatyr Petropavlovsk,Centre-Back,-,"Sep 4, 1976 (27)",,"1,80m",,-,2004
84,Kostyantyn Panin,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Dec 8, 1975 (28)",,"1,78m",,-,2004
85,Sergey Labodovskiy,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Jan 14, 1982 (21)",,"1,94m",,-,2004
86,Nikolay Solomin,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Apr 6, 1985 (18)",,"1,79m",,-,2004
87,Andriy Guzenko,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Feb 19, 1973 (30)",,"1,80m",,-,2004
88,Sergey Kalyubin,Yesil-Bogatyr Petropavlovsk,Defensive Midfield,-,"Jan 14, 1979 (24)",,"1,84m",,-,2004
89,Yuriy Chukhleba,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Sep 27, 1974 (29)",,"1,78m",right,-,2004
90,Akhmetzhan Akhmetzhanov,Yesil-Bogatyr Petropavlovsk,Midfielder,-,"Jan 16, 1986 (17)",,"1,77m",,-,2004
91,Evgeniy Averchenko,Yesil-Bogatyr Petropavlovsk,Right Midfield,-,"Apr 6, 1982 (21)",,"1,72m",right,-,2004
92,David Grigoryan,Yesil-Bogatyr Petropavlovsk,Attacking Midfield,-,"Dec 28, 1982 (21)",,"1,76m",left,-,2004
93,Artur Gevorkyan,Yesil-Bogatyr Petropavlovsk,Right Winger,-,"Nov 22, 1984 (19)",,"1,75m",right,-,2004
94,Zaynitdin Tadzhiev,Yesil-Bogatyr Petropavlovsk,Centre-Forward,-,"Jun 21, 1977 (26)",,"1,86m",right,-,2004
95,Aram Voskanyan,Yesil-Bogatyr Petropavlovsk,Striker,-,"Aug 26, 1975 (28)",,"1,73m",,-,2004
96,Redzhepmurad Agabaev,Yesil-Bogatyr Petropavlovsk,Centre-Forward,-,"Aug 1, 1973 (30)",,"1,86m",,-,2004
97,Sergey Yurevich,Yesil-Bogatyr Petropavlovsk,Striker,-,"Sep 11, 1979 (24)",,"1,64m",,-,2004
98,Yaroslav Baginskiy,Okzhetpes Kokshetau,Goalkeeper,-,"Oct 3, 1987 (16)",,"1,85m",right,-,2004
99,Arslan Satubaldin,Okzhetpes Kokshetau,Goalkeeper,-,"Aug 11, 1984 (19)",,"1,93m",right,-,2004
100,Andrey Nenashev,Okzhetpes Kokshetau,Goalkeeper,-,"Dec 12, 1973 (30)",,"1,81m",right,-,2004
101,Oleg Fistican,Okzhetpes Kokshetau,Defender,-,"Feb 1, 1975 (28)",,"1,78m",right,-,2004
102,Andriy Foshchiy,Okzhetpes Kokshetau,Defender,-,"Feb 19, 1981 (22)",,"1,86m",,-,2004
103,Adylet Eshenkulov,Okzhetpes Kokshetau,Defender,-,"Mar 18, 1985 (18)",,"1,79m",,-,2004
104,Oleg Lashnikov,Okzhetpes Kokshetau,Defender,-,"Oct 3, 1975 (28)",,"1,93m",,-,2004
105,Evgeniy Valentyukevich,Okzhetpes Kokshetau,Defender,-,"Feb 9, 1982 (21)",,"1,83m",,-,2004
106,Igor Pavlyuk,Okzhetpes Kokshetau,Defender,-,"Mar 20, 1981 (22)",,"1,81m",,-,2004
107,Ilya Fomichev,Okzhetpes Kokshetau,Centre-Back,-,"Aug 14, 1982 (21)",,"1,94m",right,-,2004
108,Kirill Keker,Okzhetpes Kokshetau,Centre-Back,-,"Jun 22, 1979 (24)",,"1,85m",right,-,2004
109,Alik Haydarov,Okzhetpes Kokshetau,Centre-Back,-,"Apr 27, 1981 (22)",,"1,83m",right,-,2004
110,Evgeni Zakharchenko,Okzhetpes Kokshetau,Left-Back,-,"Sep 21, 1978 (25)",,"1,77m",left,-,2004
111,Iurie Osipenco,Okzhetpes Kokshetau,Midfielder,-,"Jul 6, 1974 (29)",,N/Am,N/A,-,2004
112,Andrey Barsukov,Okzhetpes Kokshetau,Midfielder,-,"Nov 2, 1973 (30)",,"1,75m",,-,2004
113,Maksym Miroshnichenko,Okzhetpes Kokshetau,Midfielder,-,"Mar 31, 1979 (24)",,-,,-,2004
114,Sergey Ivanov,Okzhetpes Kokshetau,Midfielder,-,"Apr 3, 1977 (26)",,"1,72m",,-,2004
115,Ghenadie Pusca,Okzhetpes Kokshetau,Left Midfield,-,"Apr 22, 1975 (28)",,"1,83m",left,-,2004
116,Serik Dosmanbetov,Okzhetpes Kokshetau,Centre-Forward,-,"Mar 8, 1982 (21)",,"1,78m",right,-,2004
117,Pavel Udalov,Okzhetpes Kokshetau,Centre-Forward,-,"Jan 25, 1983 (20)",,"1,82m",right,-,2004
118,Dmitriy Galich,Okzhetpes Kokshetau,Centre-Forward,-,"Nov 26, 1977 (26)",,"1,83m",,-,2004
119,Artem Alekhin,Okzhetpes Kokshetau,Striker,-,"Aug 2, 1986 (17)",,"1,88m",,-,2004
120,Sergey Pyshmyntsev,Okzhetpes Kokshetau,Striker,-,"Jan 27, 1986 (17)",,"1,78m",,-,2004
121,Sergey Stepanenko,FK Taraz,Goalkeeper,-,"Jan 25, 1981 (22)",,"1,88m",right,-,2004
122,Igor Mikhailov,FK Taraz,Goalkeeper,-,"Feb 24, 1980 (23)",,"1,77m",,-,2004
123,Nurmat Mirzabaev,FK Taraz,Defender,-,"Nov 11, 1972 (31)",,"1,76m",,-,2004
124,Eldar Baymeshov,FK Taraz,Defender,-,"Jul 26, 1986 (17)",,"1,80m",,-,2004
125,Yuri Bordolimow,FK Taraz,Defender,-,"Jan 24, 1970 (33)",,"1,70m",,-,2004
126,Petro Anisim,FK Taraz,Defender,-,"Jan 31, 1977 (26)",,"1,93m",,-,2004
127,Erlan Eleusinov,FK Taraz,Defender,-,"Jul 2, 1972 (31)",,"1,81m",,-,2004
128,Egor Gladkov,FK Taraz,Defender,-,"Feb 17, 1979 (24)",,"1,72m",,-,2004
129,Vladimir Yakovlev,FK Taraz,Centre-Back,-,"Aug 2, 1984 (19)",,"1,82m",right,-,2004
130,Dmitriy Evstigneev,FK Taraz,Left-Back,-,"Nov 21, 1986 (17)",,"1,81m",left,-,2004
131,Ruslan Esatov,FK Taraz,Left-Back,-,"Oct 31, 1984 (19)",,"1,80m",left,-,2004
132,Volodymyr Matsigura,FK Taraz,Left-Back,-,"May 14, 1975 (28)",,"1,76m",left,-,2004
133,Vyacheslav Sobolev,FK Taraz,Right-Back,-,"Oct 13, 1984 (19)",,"1,69m",both,-,2004
134,Nurtas Kurgulin,FK Taraz,Right-Back,-,"Sep 20, 1986 (17)",,"1,75m",right,-,2004
135,Vitali Ushakov,FK Taraz,Midfielder,-,"Aug 12, 1974 (29)",,"1,78m",,-,2004
136,Vitaliy Evstigneev,FK Taraz,Defensive Midfield,-,"Aug 8, 1985 (18)",,"1,86m",both,-,2004
137,Dmitriy Yurist,FK Taraz,Midfielder,-,"Feb 16, 1972 (31)",,"1,74m",,-,2004
138,Dmitriy Pavlov,FK Taraz,Midfielder,-,"Aug 29, 1982 (21)",,"1,75m",,-,2004
139,Olzhas Rakhimuly,FK Taraz,Midfielder,-,"May 30, 1986 (17)",,"1,78m",,-,2004
140,Sergey Ivanov,FK Taraz,Central Midfield,-,"May 30, 1980 (23)",,"1,78m",right,-,2004
141,Aleksandr Ignatjev,FK Taraz,Right Midfield,-,"Nov 7, 1971 (32)",,"1,78m",right,-,2004
142,Vyacheslav Krendelev,FK Taraz,Left Midfield,-,"Jul 24, 1982 (21)",,"1,84m",left,-,2004
143,Askhat Borantaev,FK Taraz,Left Midfield,-,"Aug 22, 1978 (25)",,"1,70m",left,-,2004
144,Oleg Nedashkovskiy,FK Taraz,Attacking Midfield,-,"Sep 9, 1987 (16)",,"1,84m",right,-,2004
145,Paata Berishvili,FK Taraz,Right Winger,-,"Sep 30, 1973 (30)",,"1,82m",right,-,2004
146,Nurken Mazbaev,FK Taraz,Right Winger,-,"Jun 4, 1972 (31)",,-,,-,2004
147,Vladimir Pantyushenko,FK Taraz,Striker,-,"Dec 15, 1975 (28)",,"1,80m",,-,2004
148,Vladimir Gurtuev,FK Taraz,Striker,-,"Jul 2, 1971 (32)",,"1,82m",,-,2004
149,Kairat Suley,FK Taraz,Striker,-,"Oct 26, 1985 (18)",,"1,80m",,-,2004
150,Azamat Niyazymbetov,FK Taraz,Striker,-,"Mar 25, 1974 (29)",,"1,72m",right,-,2004
151,Erzhan Sergazin,FK Alma-Ata,Goalkeeper,-,"Mar 23, 1977 (26)",,"1,76m",right,-,2004
152,Pavel Leus,FK Alma-Ata,Goalkeeper,-,"Sep 15, 1978 (25)",,"1,86m",left,-,2004
153,Andrey Shabanov,FK Alma-Ata,Goalkeeper,-,"Nov 17, 1986 (17)",,"1,84m",right,-,2004
154,Aleksandr Aliev,FK Alma-Ata,Goalkeeper,-,"Apr 17, 1987 (16)",,"1,84m",right,-,2004
155,Rustam Zhakhanov,FK Alma-Ata,Defender,-,"Jun 25, 1987 (16)",,"1,87m",,-,2004
156,Arman Bolatbek,FK Alma-Ata,Defender,-,"Mar 2, 1986 (17)",,"1,80m",,-,2004
157,Sergey Vasyutin,FK Alma-Ata,Defender,-,"Jun 1, 1986 (17)",,"1,92m",,-,2004
158,Vadim Zyryanov,FK Alma-Ata,Defender,-,"Jan 22, 1986 (17)",,"1,76m",,-,2004
159,Egor Azovskiy,FK Alma-Ata,Centre-Back,-,"Jan 10, 1985 (18)",,"1,87m",right,-,2004
160,Konstantin Gorovenko,FK Alma-Ata,Centre-Back,-,"Jan 10, 1977 (26)",,"1,89m",right,-,2004
161,Evgeniy Klimov,FK Alma-Ata,Centre-Back,-,"Dec 21, 1985 (18)",,"1,86m",right,-,2004
162,Viktor Kovalev,FK Alma-Ata,Centre-Back,-,"Aug 25, 1980 (23)",,"1,90m",right,-,2004
163,Abzal Zhumabaev,FK Alma-Ata,Right-Back,-,"May 28, 1986 (17)",,"1,77m",right,-,2004
164,Andrey Travin,FK Alma-Ata,Defensive Midfield,-,"Apr 27, 1979 (24)",,"1,76m",left,-,2004
165,Eugeniu Boicenco,FK Alma-Ata,Midfielder,-,"Oct 28, 1979 (24)",,"1,75m",both,-,2004
166,Kirill Shestakov,FK Alma-Ata,Defensive Midfield,-,"Jun 19, 1985 (18)",,"1,79m",right,-,2004
167,Evgeniy Malinin,FK Alma-Ata,Midfielder,-,"Sep 8, 1986 (17)",,"1,76m",,-,2004
168,Iosif Dilman,FK Alma-Ata,Midfielder,-,"Feb 3, 1986 (17)",,"1,84m",,-,2004
169,Grigoriy Babayan,FK Alma-Ata,Midfielder,-,"Apr 2, 1980 (23)",,"1,80m",,-,2004
170,Tairzhan Iminov,FK Alma-Ata,Midfielder,-,"Jun 25, 1986 (17)",,"1,78m",,-,2004
171,Bilal Nasyrov,FK Alma-Ata,Midfielder,-,"May 18, 1986 (17)",,"1,74m",,-,2004
172,Sergey Larin,FK Alma-Ata,Central Midfield,-,"Jul 22, 1986 (17)",,"1,83m",right,-,2004
173,Maksim Azovskiy,FK Alma-Ata,Attacking Midfield,-,"Jun 4, 1986 (17)",,"1,89m",right,-,2004
174,Vadim Borovskiy,FK Alma-Ata,Right Winger,-,"Oct 30, 1986 (17)",,"1,72m",right,-,2004
175,Oleg Litvinenko,FK Alma-Ata,Second Striker,-,"Nov 22, 1973 (30)",,"1,71m",,-,2004
176,Sergey Ostapenko,FK Alma-Ata,Centre-Forward,-,"Feb 23, 1986 (17)",,"1,85m",right,-,2004
177,Aleksey Shapurin,FK Alma-Ata,Centre-Forward,-,"Sep 20, 1987 (16)",,"1,79m",right,-,2004
178,Konstantin Aleynikov,FK Alma-Ata,Centre-Forward,-,"Aug 28, 1987 (16)",,"1,90m",,-,2004
179,Arman Birkurmanov,FK Alma-Ata,Striker,-,"Jan 31, 1982 (21)",,"1,80m",,-,2004
180,Erlan Urazaev,FK Alma-Ata,Striker,-,"Apr 4, 1979 (24)",,"1,78m",,-,2004
181,Vladimir Ivanov,FK Alma-Ata,Striker,-,"Feb 10, 1986 (17)",,"1,82m",,-,2004
182,Pavel Bugalo,Zhetysu Taldykorgan,Goalkeeper,-,"Aug 21, 1974 (29)",,"1,85m",right,-,2004
183,Nikolay Rodionov,Zhetysu Taldykorgan,Goalkeeper,-,"Aug 4, 1976 (27)",,"1,90m",right,-,2004
184,Igor Kudrenko,Zhetysu Taldykorgan,Defender,-,"Nov 13, 1978 (25)",,"1,87m",,-,2004
185,Ruslan Gumar,Zhetysu Taldykorgan,Defender,-,"Nov 18, 1973 (30)",,"1,81m",,-,2004
186,Bagdat Dostaev,Zhetysu Taldykorgan,Defender,-,"Jun 6, 1979 (24)",,"1,80m",,-,2004
187,Egor Gladkov,Zhetysu Taldykorgan,Defender,-,"Feb 17, 1979 (24)",,"1,72m",,-,2004
188,Daniyar Turlybaev,Zhetysu Taldykorgan,Defender,-,"May 28, 1984 (19)",,"1,70m",,-,2004
189,Bauyrzhan Bekzhanov,Zhetysu Taldykorgan,Defender,-,"Sep 29, 1984 (19)",,"1,71m",,-,2004
190,Maksim Zabelin,Zhetysu Taldykorgan,Centre-Back,-,"Feb 4, 1977 (26)",,"1,87m",left,-,2004
191,Rustam Shaymardanov,Zhetysu Taldykorgan,Centre-Back,-,"Sep 4, 1976 (27)",,"1,80m",,-,2004
192,Roman Kots,Zhetysu Taldykorgan,Left-Back,-,"Sep 12, 1984 (19)",,-,left,-,2004
193,Fevzi Davletov,Zhetysu Taldykorgan,Left-Back,-,"Sep 20, 1972 (31)",,"1,72m",right,-,2004
194,Alexandr Khvostunov,Zhetysu Taldykorgan,Right-Back,-,"Jan 9, 1974 (29)",,"1,76m",right,-,2004
195,Andrei Martin,Zhetysu Taldykorgan,Midfielder,-,"Jun 27, 1974 (29)",,"1,75m",,-,2004
196,Evgeniy Kostrub,Zhetysu Taldykorgan,Defensive Midfield,-,"Aug 27, 1982 (21)",,"1,77m",right,-,2004
197,Rakhman Asukhanov,Zhetysu Taldykorgan,Midfielder,-,"May 1, 1973 (30)",,"1,68m",,-,2004
198,Oleg Golovan,Zhetysu Taldykorgan,Midfielder,-,"Oct 1, 1974 (29)",,"1,75m",,-,2004
199,Dmitriy Mamonov,Zhetysu Taldykorgan,Central Midfield,-,"Apr 26, 1978 (25)",,"1,73m",right,-,2004
200,Sergiu Pogreban,Zhetysu Taldykorgan,Right Winger,-,"May 13, 1978 (25)",,"1,75m",,-,2004
201,Mukhtar Kurbonov,Zhetysu Taldykorgan,Right Winger,-,"Jan 26, 1975 (28)",,"1,70m",,-,2004
202,Aleksandr Shatskikh,Zhetysu Taldykorgan,Centre-Forward,-,"Jan 21, 1974 (29)",,"1,80m",right,-,2004
203,Rafael Urazbakhtin,Zhetysu Taldykorgan,Centre-Forward,-,"Nov 20, 1978 (25)",,"1,80m",right,-,2004
204,Andrey Seregin,Zhetysu Taldykorgan,Centre-Forward,-,"Aug 15, 1976 (27)",,-,right,-,2004
205,Evgeni Glukhov,Zhetysu Taldykorgan,Striker,-,"Jun 22, 1974 (29)",,"1,83m",,-,2004
206,Rustam Usmanov,Zhetysu Taldykorgan,Striker,-,"Jan 30, 1977 (26)",,-,,-,2004
207,Arman Birkurmanov,Zhetysu Taldykorgan,Striker,-,"Jan 31, 1982 (21)",,"1,80m",,-,2004
208,Andrey Morev,Tobol Kostanay,Goalkeeper,-,"Oct 13, 1973 (30)",,"1,88m",right,-,2004
209,Valeriy Shantalosov,Tobol Kostanay,Goalkeeper,-,"Mar 15, 1966 (37)",,"1,93m",,-,2004
210,Sergey Kurnyavka,Tobol Kostanay,Defender,-,"Oct 18, 1984 (19)",,"1,85m",,-,2004
211,Maksim Chausov,Tobol Kostanay,Defender,-,"Mar 2, 1984 (19)",,"1,79m",,-,2004
212,Sergey Kucheruk,Tobol Kostanay,Defender,-,"Oct 2, 1982 (21)",,"1,78m",,-,2004
213,Oleg Lotov,Tobol Kostanay,Centre-Back,-,"Nov 21, 1975 (28)",,"1,84m",right,-,2004
214,Denis Mashkarin,Tobol Kostanay,Centre-Back,-,"May 17, 1973 (30)",,"1,84m",right,-,2004
215,Veselin Branimirov,Tobol Kostanay,Centre-Back,-,"Aug 25, 1975 (28)",,"1,81m",right,-,2004
216,Igor Soloshenko,Tobol Kostanay,Left-Back,-,"May 22, 1979 (24)",,"1,81m",left,-,2004
217,Daniyar Mukanov,Tobol Kostanay,Right-Back,-,"Sep 26, 1976 (27)",,"1,79m",right,-,2004
218,Petr Badlo,Tobol Kostanay,Right-Back,-,"May 24, 1976 (27)",,"1,78m",right,-,2004
219,Andrey Shkurin,Tobol Kostanay,Right-Back,-,"Mar 3, 1972 (31)",,"1,73m",both,-,2004
220,Dias Kamelov,Tobol Kostanay,Defensive Midfield,-,"May 29, 1981 (22)",,"1,74m",right,-,2004
221,Stanimir Dimitrov,Tobol Kostanay,Defensive Midfield,-,"Apr 24, 1972 (31)",,"1,88m",,-,2004
222,Andrey Kharabara,Tobol Kostanay,Defensive Midfield,-,"Sep 1, 1985 (18)",,"1,71m",right,-,2004
223,Anatolie Ostap,Tobol Kostanay,Midfielder,-,"Nov 22, 1979 (24)",,"1,80m",left,-,2004
224,Oleg Strakhanovich,Tobol Kostanay,Central Midfield,-,"Oct 13, 1979 (24)",,"1,84m",left,-,2004
