,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
84,Ivan Graf,Kaysar Kyzylorda,Defender,55,"Jun 17, 1987 (31)",,"1,94m",right,€300k,2019
85,Eldos Akhmetov,Kaysar Kyzylorda,Centre-Back,2,"Jun 1, 1990 (28)",,"1,87m",right,€750k,2019
86,Aleksey Shumskikh,Kaysar Kyzylorda,Centre-Back,-,"Jul 1, 1990 (28)",,"1,89m",both,€500k,2019
87,Abdel Lamanje,Kaysar Kyzylorda,Centre-Back,-,"Jul 27, 1990 (28)",,"1,85m",left,€500k,2019
88,Aleksandr Marochkin,Kaysar Kyzylorda,Centre-Back,22,"Jul 14, 1990 (28)",,"1,91m",right,€500k,2019
89,Mark Gurman,Kaysar Kyzylorda,Centre-Back,14,"Feb 9, 1989 (29)",,"1,79m",right,€300k,2019
90,Ivan Sadovnichiy,Kaysar Kyzylorda,Centre-Back,-,"May 11, 1987 (31)",,"1,92m",right,€250k,2019
91,Olzhas Altaev,Kaysar Kyzylorda,Centre-Back,-,"Jul 15, 1989 (29)",,"1,84m",right,€150k,2019
92,Dinmukhammed Kashken,Kaysar Kyzylorda,Centre-Back,61,"Jan 4, 2000 (18)",,"1,87m",right,€100k,2019
93,Elzhas Sarbay,Kaysar Kyzylorda,Centre-Back,-,"Jul 24, 1998 (20)",,"1,80m",right,€75k,2019
94,Abylaykhan Tolegenov,Kaysar Kyzylorda,Centre-Back,3,"Jul 13, 1992 (26)",,"1,84m",right,-,2019
95,Kuanysh Kalmuratov,Kaysar Kyzylorda,Left-Back,77,"Aug 27, 1996 (22)",,"1,78m",left,€400k,2019
96,Erbolat Serik,Kaysar Kyzylorda,Left-Back,-,"Oct 6, 1996 (22)",,"1,84m",left,-,2019
97,Bagdat Kairov,Kaysar Kyzylorda,Right-Back,5,"Apr 27, 1993 (25)",,"1,78m",right,€600k,2019
98,Ilyas Amirseitov,Kaysar Kyzylorda,Right-Back,13,"Oct 22, 1989 (29)",,"1,79m",right,€400k,2019
99,Valentin Chureev,Kaysar Kyzylorda,Right-Back,-,"Aug 29, 1986 (32)",,"1,73m",right,€200k,2019
100,Ayan Kulmaganbetov,Kaysar Kyzylorda,Right-Back,-,"Nov 11, 2000 (18)",,"1,78m",right,-,2019
101,Duman Narzildaev,Kaysar Kyzylorda,Defensive Midfield,10,"Sep 6, 1993 (25)",,"1,78m",right,€500k,2019
102,Clarence Bitang,Kaysar Kyzylorda,Defensive Midfield,19,"Sep 2, 1992 (26)",,"1,72m",right,€400k,2019
103,Ruslan Duysenbaev,Kaysar Kyzylorda,Defensive Midfield,-,"Apr 22, 1993 (25)",,"1,77m",left,-,2019
104,Bekzat Kurmanbekuly,Kaysar Kyzylorda,Defensive Midfield,17,"Apr 14, 2000 (18)",,"1,78m",right,-,2019
105,Askhat Tagybergen,Kaysar Kyzylorda,Central Midfield,8,"Aug 9, 1990 (28)",,"1,79m",right,€750k,2019
106,Magomed Paragulgov,Kaysar Kyzylorda,Central Midfield,-,"Mar 26, 1994 (24)",,"1,81m",right,€450k,2019
107,Maksat Bayzhanov,Kaysar Kyzylorda,Central Midfield,-,"Aug 6, 1984 (34)",,"1,80m",right,€250k,2019
108,Samat Balymbetov,Kaysar Kyzylorda,Central Midfield,-,"Apr 10, 1994 (24)",,"1,79m",right,-,2019
109,Aleksandar Stanisavljevic,Kaysar Kyzylorda,Attacking Midfield,39,"Jun 11, 1989 (29)",,"1,81m",both,€500k,2019
110,Ivan Pesic,Kaysar Kyzylorda,Left Winger,-,"Apr 6, 1992 (26)",,"1,84m",right,€500k,2019
111,Joshua John,Kaysar Kyzylorda,Left Winger,-,"Oct 1, 1988 (30)",,"1,75m",right,€300k,2019
112,Tigran Barseghyan,Kaysar Kyzylorda,Right Winger,-,"Sep 22, 1993 (25)",,"1,79m",left,€750k,2019
113,Maksim Fedin,Kaysar Kyzylorda,Right Winger,96,"Jun 8, 1996 (22)",,"1,75m",right,€750k,2019
114,André Bukia,Kaysar Kyzylorda,Right Winger,-,"Mar 3, 1995 (23)",,"1,73m",left,€400k,2019
115,Alvin Fortes,Kaysar Kyzylorda,Right Winger,94,"May 25, 1994 (24)",,"1,76m",left,€300k,2019
116,Elzhas Altynbekov,Kaysar Kyzylorda,Right Winger,15,"Nov 22, 1993 (25)",,"1,80m",both,€250k,2019
117,Reginaldo,Kaysar Kyzylorda,Centre-Forward,99,"Jun 4, 1990 (28)",,"1,82m",right,€550k,2019
118,Bratislav Punosevac,Kaysar Kyzylorda,Centre-Forward,-,"Jul 9, 1987 (31)",,"1,89m",right,€400k,2019
119,Aleksandar Kolev,Kaysar Kyzylorda,Centre-Forward,7,"Dec 8, 1992 (26)",,"1,92m",left,€300k,2019
120,Igor Zenkovich,Kaysar Kyzylorda,Centre-Forward,-,"Sep 17, 1987 (31)",,"1,85m",right,€250k,2019
121,Kule Mbombo,Kaysar Kyzylorda,Centre-Forward,-,"May 10, 1996 (22)",,"1,86m",right,€250k,2019
122,Elguja Lobjanidze,Kaysar Kyzylorda,Centre-Forward,9,"Sep 17, 1992 (26)",,"1,93m",right,€150k,2019
123,Shokhan Abzalov,Kaysar Kyzylorda,Centre-Forward,11,"Sep 11, 1993 (25)",,"1,82m",right,-,2019
124,Orken Makhan,Kaysar Kyzylorda,Centre-Forward,29,"Jan 27, 1998 (20)",,"1,80m",right,-,2019
125,Miroslav Lobantsev,Kyzyl-Zhar SK Petropavlovsk,Goalkeeper,41,"May 27, 1995 (23)",,"1,89m",right,€400k,2019
126,Anton Tsirin,Kyzyl-Zhar SK Petropavlovsk,Goalkeeper,1,"Aug 10, 1987 (31)",,"1,98m",right,€200k,2019
127,Oleg Grubov,Kyzyl-Zhar SK Petropavlovsk,Goalkeeper,33,"Mar 4, 1997 (21)",,"1,85m",right,€100k,2019
128,Vadim Petrov,Kyzyl-Zhar SK Petropavlovsk,Goalkeeper,32,"Jun 11, 2000 (18)",,"1,88m",left,-,2019
129,Artem Baranovskyi,Kyzyl-Zhar SK Petropavlovsk,Centre-Back,3,"Mar 17, 1990 (28)",,"1,90m",right,€500k,2019
130,Terentiy Lutsevich,Kyzyl-Zhar SK Petropavlovsk,Centre-Back,-,"Apr 19, 1991 (27)",,"1,93m",right,€200k,2019
131,Alibek Kasym,Kyzyl-Zhar SK Petropavlovsk,Centre-Back,6,"May 27, 1998 (20)",,"1,93m",right,€100k,2019
132,Igor Gubanov,Kyzyl-Zhar SK Petropavlovsk,Centre-Back,66,"Feb 4, 1992 (26)",,"1,87m",right,€50k,2019
133,Vytautas Andriuskevicius,Kyzyl-Zhar SK Petropavlovsk,Left-Back,-,"Oct 8, 1990 (28)",,"1,88m",left,€600k,2019
134,Berik Shaykhov,Kyzyl-Zhar SK Petropavlovsk,Left-Back,23,"Feb 20, 1994 (24)",,"1,70m",left,€500k,2019
135,Ildar Aitov,Kyzyl-Zhar SK Petropavlovsk,Left-Back,40,"Mar 2, 1990 (28)",,"1,74m",both,€250k,2019
136,Gabriel Enache,Kyzyl-Zhar SK Petropavlovsk,Right-Back,-,"Aug 18, 1990 (28)",,"1,74m",right,€800k,2019
137,Aleksandr Sokolenko,Kyzyl-Zhar SK Petropavlovsk,Right-Back,15,"Nov 23, 1996 (22)",,"1,81m",both,€500k,2019
138,Viktor Gunchenko,Kyzyl-Zhar SK Petropavlovsk,Right-Back,20,"Aug 25, 1994 (24)",,"1,80m",right,€150k,2019
139,Moussa Koné,Kyzyl-Zhar SK Petropavlovsk,Defensive Midfield,12,"Feb 12, 1990 (28)",,"1,82m",right,€400k,2019
140,Tamaz Tsetskhladze,Kyzyl-Zhar SK Petropavlovsk,Defensive Midfield,-,"Dec 8, 1996 (22)",,"1,86m",right,€200k,2019
141,Uros Delic,Kyzyl-Zhar SK Petropavlovsk,Defensive Midfield,21,"Aug 10, 1987 (31)",,"1,93m",right,€200k,2019
142,Sergey Skorykh,Kyzyl-Zhar SK Petropavlovsk,Defensive Midfield,77,"May 25, 1984 (34)",,"1,84m",right,€100k,2019
143,Maksym Drachenko,Kyzyl-Zhar SK Petropavlovsk,Central Midfield,7,"Jan 28, 1990 (28)",,"1,80m",right,€400k,2019
144,Pablo Podio,Kyzyl-Zhar SK Petropavlovsk,Central Midfield,5,"Aug 7, 1989 (29)",,"1,80m",left,€350k,2019
145,Mihail Platica,Kyzyl-Zhar SK Petropavlovsk,Central Midfield,16,"Mar 15, 1990 (28)",,"1,85m",right,€275k,2019
146,Shota Grigalashvili,Kyzyl-Zhar SK Petropavlovsk,Attacking Midfield,10,"Jun 21, 1986 (32)",,"1,77m",both,€250k,2019
147,Dmitri Savchenko,Kyzyl-Zhar SK Petropavlovsk,Attacking Midfield,18,"Jun 9, 2001 (17)",,"1,81m",right,€100k,2019
148,Ivan Markelov,Kyzyl-Zhar SK Petropavlovsk,Left Winger,9,"Apr 17, 1988 (30)",,"1,85m",left,€600k,2019
149,Nikita Bezlikhotnov,Kyzyl-Zhar SK Petropavlovsk,Right Winger,-,"Aug 19, 1990 (28)",,"1,79m",right,€500k,2019
150,Ruslan Koryan,Kyzyl-Zhar SK Petropavlovsk,Second Striker,14,"Jun 15, 1988 (30)",,"1,82m",right,€250k,2019
151,Timur Muldinov,Kyzyl-Zhar SK Petropavlovsk,Centre-Forward,19,"Sep 19, 1993 (25)",,"1,80m",right,€350k,2019
152,Igor Zenkovich,Kyzyl-Zhar SK Petropavlovsk,Centre-Forward,78,"Sep 17, 1987 (31)",,"1,85m",right,€250k,2019
153,Momodou Ceesay,Kyzyl-Zhar SK Petropavlovsk,Centre-Forward,8,"Dec 24, 1988 (30)",,"1,95m",right,€200k,2019
154,Artem Cheredinov,Kyzyl-Zhar SK Petropavlovsk,Centre-Forward,11,"Jul 17, 1998 (20)",,"1,82m",right,-,2019
155,Maksim Skorykh,Kyzyl-Zhar SK Petropavlovsk,Centre-Forward,99,"Apr 20, 2000 (18)",,"1,94m",right,-,2019
156,Dzhurakhon Babakhanov,FK Taraz,Goalkeeper,24,"Oct 31, 1991 (27)",,"1,90m",right,€150k,2019
157,Mukhammedzhan Seysen,FK Taraz,Goalkeeper,74,"Feb 14, 1999 (19)",,"1,90m",right,€125k,2019
158,Almaz Khamytbekov,FK Taraz,Goalkeeper,1,"Sep 29, 1991 (27)",,"1,88m",right,€50k,2019
159,Mikhail Mishchenko,FK Taraz,Centre-Back,25,"Jun 27, 1989 (29)",,"1,88m",left,€350k,2019
160,Bekzat Shadmanov,FK Taraz,Centre-Back,4,"Aug 12, 1997 (21)",,"1,89m",right,€300k,2019
161,Berik Aytbaev,FK Taraz,Centre-Back,14,"Jun 26, 1991 (27)",,"1,84m",right,€300k,2019
162,Valeriy Karshakevich,FK Taraz,Centre-Back,5,"Feb 15, 1988 (30)",,"1,93m",left,€200k,2019
163,Madiyar Nuraly,FK Taraz,Centre-Back,22,"Jan 20, 1995 (23)",,"1,78m",right,€200k,2019
164,Dejan Boljevic,FK Taraz,Left-Back,23,"May 30, 1990 (28)",,"1,83m",left,€250k,2019
165,Dmitriy Evstigneev,FK Taraz,Left-Back,27,"Nov 21, 1986 (32)",,"1,81m",left,€200k,2019
166,Elisey Gorshunov,FK Taraz,Left-Back,-,"Jul 8, 2002 (16)",,"1,83m",left,-,2019
167,Bekzhan Rzataev,FK Taraz,Left-Back,-,"May 17, 1999 (19)",,"1,87m",left,-,2019
168,Maksat Amirkhanov,FK Taraz,Right-Back,20,"Feb 10, 1992 (26)",,"1,72m",right,€300k,2019
169,Jovan Cadjenovic,FK Taraz,Defensive Midfield,21,"Jan 13, 1995 (23)",,"1,84m",right,€200k,2019
170,Almas Sapargaliev,FK Taraz,Defensive Midfield,44,"Nov 16, 1993 (25)",,"1,83m",right,€75k,2019
171,Abzal Taubay,FK Taraz,Central Midfield,7,"Feb 18, 1995 (23)",,"1,75m",right,€350k,2019
172,Ayub Batsuev,FK Taraz,Central Midfield,95,"Feb 9, 1997 (21)",,"1,69m",left,€300k,2019
173,Goran Brkic,FK Taraz,Central Midfield,40,"Apr 28, 1991 (27)",,"1,76m",right,€200k,2019
174,Adilet Abdenabi,FK Taraz,Central Midfield,6,"Feb 4, 1996 (22)",,"1,74m",right,€100k,2019
175,Ersultan Kaldybekov,FK Taraz,Central Midfield,-,"Jan 12, 2002 (16)",,"1,85m",both,-,2019
176,Sheykhislam Kulakhmetov,FK Taraz,Central Midfield,8,"Jan 15, 1996 (22)",,"1,81m",right,-,2019
177,Ovidijus Verbickas,FK Taraz,Right Midfield,9,"Jul 4, 1993 (25)",,"1,78m",right,€450k,2019
178,Bauyrzhan Baytana,FK Taraz,Attacking Midfield,30,"May 6, 1992 (26)",,"1,74m",both,€300k,2019
179,Alisher Suley,FK Taraz,Left Winger,10,"Nov 1, 1995 (23)",,"1,78m",right,€200k,2019
180,Gavril Kan,FK Taraz,Left Winger,11,"Jan 10, 1999 (19)",,"1,75m",right,€50k,2019
181,Erkebulan Toybekov,FK Taraz,Left Winger,-,"Jun 25, 2002 (16)",,"1,80m",both,-,2019
182,Toni Silva,FK Taraz,Right Winger,15,"Sep 15, 1993 (25)",,"1,79m",left,€500k,2019
183,Serge Nyuiadzi,FK Taraz,Right Winger,33,"Sep 17, 1991 (27)",,"1,81m",left,€300k,2019
184,Dinmukhamed Karaman,FK Taraz,Right Winger,17,"Jun 26, 2000 (18)",,"1,78m",right,€50k,2019
185,Bauyrzhan Turysbek,FK Taraz,Centre-Forward,28,"Oct 15, 1991 (27)",,"1,81m",right,€900k,2019
186,Nils Zatl,FK Taraz,Centre-Forward,-,"Apr 3, 1992 (26)",,"1,78m",both,€500k,2019
187,Bratislav Punosevac,FK Taraz,Centre-Forward,13,"Jul 9, 1987 (31)",,"1,89m",right,€400k,2019
188,Abylaykhan Zhumabek,FK Taraz,Centre-Forward,19,"Oct 19, 2001 (17)",,"1,87m",right,-,2019
189,Marko Milosevic,Kaspiy Aktau,Goalkeeper,91,"Feb 7, 1991 (27)",,"1,87m",right,€250k,2019
190,Denis Kavlinov,Kaspiy Aktau,Goalkeeper,51,"Jan 10, 1995 (23)",,"1,91m",right,€200k,2019
191,Nurlybek Ayazbaev,Kaspiy Aktau,Goalkeeper,1,"Jan 24, 1991 (27)",,"1,83m",right,€150k,2019
192,Olzhas Mukhanov,Kaspiy Aktau,Goalkeeper,35,"Oct 27, 1997 (21)",,"1,86m",right,-,2019
193,Rafkat Aslan,Kaspiy Aktau,Centre-Back,3,"Feb 2, 1994 (24)",,"1,86m",right,€300k,2019
194,Karam Sultanov,Kaspiy Aktau,Centre-Back,-,"Apr 15, 1996 (22)",,"1,95m",right,€250k,2019
195,Taras Bondarenko,Kaspiy Aktau,Centre-Back,-,"Sep 23, 1992 (26)",,"1,87m",right,€250k,2019
196,Stefan Bukorac,Kaspiy Aktau,Centre-Back,8,"Feb 15, 1991 (27)",,"1,93m",right,€225k,2019
197,Ilya Vorotnikov,Kaspiy Aktau,Centre-Back,33,"Feb 1, 1986 (32)",,"1,86m",right,€150k,2019
198,Lionel Adams,Kaspiy Aktau,Centre-Back,55,"Aug 9, 1994 (24)",,"1,92m",left,€100k,2019
199,Erbol Sauirbaev,Kaspiy Aktau,Centre-Back,-,"Sep 16, 2001 (17)",,"1,81m",,-,2019
200,Erlan Kadyrbaev,Kaspiy Aktau,Centre-Back,4,"Oct 5, 1991 (27)",,"1,81m",right,-,2019
201,Amandyk Nabikhanov,Kaspiy Aktau,Centre-Back,23,"Nov 9, 1997 (21)",,"1,83m",right,-,2019
202,Bojan Kovacevic,Kaspiy Aktau,Left-Back,-,"Apr 28, 1996 (22)",,"1,86m",left,-,2019
203,Timur Redzhepov,Kaspiy Aktau,Left-Back,-,"Jul 6, 2002 (16)",,"1,83m",left,-,2019
204,Maksat Taykenov,Kaspiy Aktau,Left-Back,19,"Aug 14, 1997 (21)",,"1,69m",left,-,2019
205,Erkin Tapalov,Kaspiy Aktau,Right-Back,-,"Sep 3, 1993 (25)",,"1,79m",right,€400k,2019
206,Mikhail Gabyshev,Kaspiy Aktau,Right-Back,5,"Jan 2, 1990 (28)",,"1,85m",right,€300k,2019
207,Ruslan Zhanysbaev,Kaspiy Aktau,Right-Back,17,"Nov 4, 1995 (23)",,"1,78m",right,€50k,2019
208,Kirill Shestakov,Kaspiy Aktau,Defensive Midfield,18,"Jun 19, 1985 (33)",,"1,79m",right,€200k,2019
209,Erkebulan Rakhmetov,Kaspiy Aktau,Midfielder,-,"Feb 15, 2000 (18)",,"1,76m",,-,2019
210,Marat Shakhmetov,Kaspiy Aktau,Central Midfield,22,"Feb 6, 1989 (29)",,"1,82m",right,€500k,2019
211,Sultan Sagnaev,Kaspiy Aktau,Central Midfield,-,"Jan 14, 2000 (18)",,"1,72m",right,€250k,2019
212,Kuandyk Nursultanov,Kaspiy Aktau,Central Midfield,-,"Apr 24, 1999 (19)",,"1,75m",right,-,2019
213,Bekzat Kabylan,Kaspiy Aktau,Central Midfield,7,"Mar 3, 1996 (22)",,"1,62m",right,-,2019
214,Rakhimzhan Rozybakiev,Kaspiy Aktau,Left Midfield,6,"Jan 2, 1991 (27)",,"1,88m",right,€250k,2019
215,Aleksandar Stanisavljevic,Kaspiy Aktau,Attacking Midfield,-,"Jun 11, 1989 (29)",,"1,81m",both,€500k,2019
